cond.s.m01,echo.1.301,cond.p.m01,echo.p.301,cond.s.m1,echo.s.m1,cond.p.m1,echo.p.m1,cond.s.m2,echo.s.m2,cond.p.m2,echo.p.m2
s,0.000196045,p,0.000588136,1,0.000145691,p,0.000437074,s,6.40E-05,p,0.00019208
s,0.000205529,p,0.000616586,1,0.000130688,p,0.000392063,s,4.37E-05,p,0.000131096
s,0.000212416,p,0.000637248,1,0.000118233,p,0.0003547,s,4.31E-05,p,0.000129212
s,0.000174073,p,0.00052222,1,0.000122228,p,0.000366684,s,4.75E-05,p,0.000142488
s,0.000232187,p,0.00069656,1,0.000114834,p,0.000344502,s,6.65E-05,p,0.000199547
s,0.000218939,p,0.000656818,1,0.000106353,p,0.000319059,s,4.35E-05,p,0.000130496
s,0.00021271,p,0.00063813,1,0.000130949,p,0.000392846,s,4.72E-05,p,0.000141591
s,0.00021522,p,0.00064566,1,0.000112506,p,0.000337519,s,3.64E-05,p,0.000109183
s,0.000186354,p,0.000559063,1,0.000111546,p,0.000334638,s,3.47E-05,p,0.000104163
s,0.000227342,p,0.000682027,1,0.000137241,p,0.000411724,s,4.92E-05,p,0.000147725
s,0.00023601,p,0.000708029,1,9.32E-05,p,0.000279689,s,3.74E-05,p,0.000112258
s,0.000190844,p,0.000572531,1,0.000133653,p,0.000400958,s,5.85E-05,p,0.000175428
s,0.000185669,p,0.000557007,1,0.000118566,p,0.000355699,s,3.88E-05,p,0.000116274
s,0.000208537,p,0.000625611,1,0.000163789,p,0.000491367,s,5.65E-05,p,0.000169525
s,0.000203529,p,0.000610587,1,0.000160418,p,0.000481254,s,5.67E-05,p,0.000170071
s,0.000208455,p,0.000625364,1,0.00011506,p,0.00034518,s,5.74E-05,p,0.000172052
s,0.000232556,p,0.000697667,1,0.000143494,p,0.000430482,s,4.12E-05,p,0.000123685
s,0.000188402,p,0.000565205,1,8.55E-05,p,0.000256639,s,6.45E-05,p,0.000193452
s,0.00027863,p,0.00083589,1,0.000104144,p,0.000312431,s,4.12E-05,p,0.000123469
s,0.000216414,p,0.000649241,1,0.000111906,p,0.000335717,s,5.01E-05,p,0.000150167
s,0.000211252,p,0.000633757,1,0.000115586,p,0.000346759,s,6.31E-05,p,0.00018917
s,0.000207001,p,0.000621003,1,9.12E-05,p,0.000273627,s,3.67E-05,p,0.000109997
s,0.000230945,p,0.000692836,1,7.95E-05,p,0.000238387,s,5.84E-05,p,0.000175121
s,0.000192772,p,0.000578317,1,0.000120469,p,0.000361407,s,5.54E-05,p,0.000166087
s,0.000225016,p,0.000675049,1,9.45E-05,p,0.000283538,s,3.73E-05,p,0.000112003
s,0.000219725,p,0.000659174,1,0.000134809,p,0.000404427,s,3.16E-05,p,9.48E-05
s,0.000180173,p,0.00054052,1,0.000151423,p,0.000454268,s,6.26E-05,p,0.000187751
s,0.000200245,p,0.000600736,1,0.000151204,p,0.000453612,s,4.05E-05,p,0.000121459
s,0.000221044,p,0.000663132,1,0.000100658,p,0.000301975,s,7.93E-05,p,0.000237847
s,0.000194504,p,0.000583513,1,0.000127191,p,0.000381573,s,5.94E-05,p,0.000178278
s,0.000226516,p,0.000679549,1,0.000116613,p,0.000349839,s,6.73E-05,p,0.000202012
s,0.000217295,p,0.000651885,1,0.000104659,p,0.000313976,s,7.20E-05,p,0.000215886
s,0.000194303,p,0.000582909,1,0.000137753,p,0.000413258,s,3.64E-05,p,0.00010927
s,0.00025482,p,0.000764459,1,0.000116887,p,0.000350661,s,5.08E-05,p,0.000152406
s,0.000224904,p,0.000674713,1,0.000111082,p,0.000333247,s,6.24E-05,p,0.000187132
s,0.000245715,p,0.000737145,1,9.65E-05,p,0.000289647,s,4.67E-05,p,0.000140003
s,0.000189407,p,0.000568221,1,0.000110158,p,0.000330475,s,5.00E-05,p,0.000149941
s,0.000207348,p,0.000622045,1,0.000107191,p,0.000321574,s,6.19E-05,p,0.000185771
s,0.000200966,p,0.000602898,1,0.000124567,p,0.0003737,s,3.70E-05,p,0.000111054
s,0.000221244,p,0.000663731,1,0.000102287,p,0.000306862,s,4.75E-05,p,0.000142379
s,0.000230791,p,0.000692374,1,8.62E-05,p,0.00025856,s,5.60E-05,p,0.000167926
s,0.00022297,p,0.00066891,1,0.00013477,p,0.000404311,s,4.77E-05,p,0.000143237
s,0.00021632,p,0.000648961,1,0.000112876,p,0.000338627,s,4.25E-05,p,0.000127471
s,0.000176535,p,0.000529604,1,0.000112165,p,0.000336496,s,5.01E-05,p,0.000150441
s,0.000229921,p,0.000689762,1,0.000122766,p,0.000368299,s,5.78E-05,p,0.000173509
s,0.000232044,p,0.000696131,1,0.0001033,p,0.000309901,s,6.16E-05,p,0.000184867
s,0.00020556,p,0.000616679,1,0.000142881,p,0.000428642,s,6.19E-05,p,0.000185748
s,0.000228784,p,0.000686352,1,0.000106941,p,0.000320824,s,4.75E-05,p,0.000142465
s,0.000229606,p,0.000688818,1,0.000139027,p,0.000417082,s,6.22E-05,p,0.000186459
s,0.000221774,p,0.000665321,1,0.000141431,p,0.000424293,s,6.94E-05,p,0.000208342
s,0.000227409,p,0.000682228,1,0.000108393,p,0.000325178,s,3.76E-05,p,0.000112826
s,0.000213112,p,0.000639335,1,0.000124807,p,0.000374421,s,5.36E-05,p,0.000160713
s,0.000186802,p,0.000560407,1,0.000113729,p,0.000341188,s,5.87E-05,p,0.000176214
s,0.000243431,p,0.000730294,1,0.000130297,p,0.00039089,s,4.50E-05,p,0.000135148
s,0.000216473,p,0.000649418,1,9.15E-05,p,0.000274382,s,4.34E-05,p,0.000130137
s,0.000205811,p,0.000617434,1,0.000131298,p,0.000393893,s,7.06E-05,p,0.000211834
s,0.000209134,p,0.000627401,1,0.000119955,p,0.000359865,s,5.29E-05,p,0.000158686
s,0.000199418,p,0.000598253,1,0.000132441,p,0.000397323,s,6.39E-05,p,0.000191805
s,0.000219077,p,0.00065723,1,0.00013701,p,0.000411029,s,6.72E-05,p,0.000201525
