cond.s.m01,echo.1.301,cond.p.m01,echo.p.301,cond.s.m1,echo.s.m1,cond.p.m1,echo.p.m1,cond.s.m2,echo.s.m2,cond.p.m2,echo.p.m2
s,0.000279445,p,0.000838334,1,0.000126803,p,0.000380408,s,4.34E-05,p,0.00013014
s,0.000198042,p,0.000594126,1,0.000121134,p,0.000363403,s,5.88E-05,p,0.000176408
s,0.000224383,p,0.000673149,1,0.000132093,p,0.000396278,s,4.45E-05,p,0.000133618
s,0.000195237,p,0.00058571,1,0.000104092,p,0.000312277,s,5.74E-05,p,0.000172298
s,0.000197721,p,0.000593162,1,0.000129392,p,0.000388177,s,5.83E-05,p,0.000174753
s,0.000249698,p,0.000749093,1,0.000112104,p,0.000336313,s,4.47E-05,p,0.000134137
s,0.000249767,p,0.000749301,1,0.000144665,p,0.000433994,s,5.33E-05,p,0.000159808
s,0.000198739,p,0.000596217,1,0.000160418,p,0.000481255,s,4.19E-05,p,0.000125761
s,0.000210515,p,0.000631546,1,0.00012614,p,0.000378419,s,5.96E-05,p,0.000178905
s,0.000181429,p,0.000544288,1,0.000118909,p,0.000356726,s,4.29E-05,p,0.000128845
s,0.000246361,p,0.000739083,1,8.50E-05,p,0.000255065,s,4.83E-05,p,0.000145032
s,0.000189074,p,0.000567223,1,0.000127633,p,0.000382899,s,6.19E-05,p,0.000185651
s,0.000214112,p,0.000642336,1,0.000117813,p,0.000353438,s,4.75E-05,p,0.000142381
s,0.000218637,p,0.000655912,1,0.000100272,p,0.000300817,s,5.07E-05,p,0.000152136
s,0.000245092,p,0.000735277,1,0.000168443,p,0.000505328,s,4.94E-05,p,0.000148148
s,0.000182605,p,0.000547814,1,0.000136267,p,0.000408802,s,4.90E-05,p,0.000146852
s,0.00022498,p,0.000674941,1,0.000175285,p,0.000525856,s,5.63E-05,p,0.000169031
s,0.000214612,p,0.000643835,1,0.000146443,p,0.000439329,s,3.99E-05,p,0.000119595
s,0.000221892,p,0.000665675,1,0.000109489,p,0.000328467,s,5.26E-05,p,0.000157839
s,0.000244274,p,0.000732822,1,0.000123288,p,0.000369865,s,6.12E-05,p,0.000183626
s,0.000230935,p,0.000692805,1,0.00012864,p,0.000385919,s,4.37E-05,p,0.00013108
s,0.000220509,p,0.000661527,1,0.00015034,p,0.00045102,s,7.30E-05,p,0.000218946
s,0.000250911,p,0.000752734,1,0.000115354,p,0.000346061,s,5.42E-05,p,0.000162663
s,0.000210708,p,0.000632124,1,0.000114722,p,0.000344166,s,5.51E-05,p,0.000165336
s,0.000205345,p,0.000616036,1,0.000119999,p,0.000359996,s,4.97E-05,p,0.000148998
s,0.000218573,p,0.000655718,1,0.000140804,p,0.000422412,s,4.14E-05,p,0.000124097
s,0.000241266,p,0.000723798,1,0.000140429,p,0.000421287,s,3.94E-05,p,0.000118053
s,0.000225184,p,0.000675553,1,9.89E-05,p,0.000296645,s,4.69E-05,p,0.00014081
s,0.000197106,p,0.000591318,1,0.000123523,p,0.000370569,s,4.36E-05,p,0.000130922
s,0.000194836,p,0.000584509,1,0.000136158,p,0.000408473,s,4.64E-05,p,0.00013909
s,0.000248415,p,0.000745244,1,0.000110185,p,0.000330556,s,5.47E-05,p,0.000163986
s,0.000185087,p,0.000555262,1,0.000147658,p,0.000442974,s,3.82E-05,p,0.000114455
s,0.000196141,p,0.000588422,1,0.000131536,p,0.000394609,s,4.41E-05,p,0.000132167
s,0.000218507,p,0.00065552,1,0.000119234,p,0.000357703,s,5.13E-05,p,0.000153836
s,0.000230683,p,0.000692048,1,0.000143177,p,0.000429531,s,3.96E-05,p,0.000118799
s,0.000231487,p,0.00069446,1,0.000108758,p,0.000326275,s,4.27E-05,p,0.000128068
s,0.000217134,p,0.000651402,1,8.78E-05,p,0.000263548,s,3.79E-05,p,0.000113649
s,0.000228308,p,0.000684923,1,0.000130959,p,0.000392878,s,6.41E-05,p,0.000192222
s,0.000247247,p,0.00074174,1,0.000118606,p,0.000355819,s,6.00E-05,p,0.000179876
s,0.000208072,p,0.000624216,1,0.000109072,p,0.000327217,s,4.91E-05,p,0.000147327
s,0.000281149,p,0.000843448,1,9.89E-05,p,0.00029661,s,4.07E-05,p,0.000122179
s,0.000225368,p,0.000676104,1,0.000107967,p,0.000323901,s,4.19E-05,p,0.000125699
s,0.000242024,p,0.000726072,1,0.000123496,p,0.000370489,s,5.59E-05,p,0.000167742
s,0.000244797,p,0.000734391,1,0.000130611,p,0.000391832,s,3.50E-05,p,0.000104942
s,0.000165326,p,0.000495979,1,0.000117683,p,0.000353049,s,6.74E-05,p,0.000202076
s,0.000217,p,0.000650999,1,7.94E-05,p,0.000238318,s,5.83E-05,p,0.000174913
s,0.000184848,p,0.000554545,1,0.000146166,p,0.000438497,s,5.72E-05,p,0.00017161
s,0.000215111,p,0.000645334,1,0.000104626,p,0.000313877,s,6.06E-05,p,0.000181665
s,0.000235347,p,0.000706042,1,0.000134534,p,0.000403602,s,5.10E-05,p,0.000153096
s,0.000204157,p,0.00061247,1,0.00013604,p,0.00040812,s,4.57E-05,p,0.000137124
s,0.000193702,p,0.000581105,1,0.000104291,p,0.000312874,s,3.54E-05,p,0.000106294
s,0.000249195,p,0.000747585,1,0.000100559,p,0.000301676,s,5.44E-05,p,0.000163271
s,0.000208599,p,0.000625798,1,0.000118699,p,0.000356096,s,5.24E-05,p,0.0001572
s,0.000223783,p,0.000671348,1,9.66E-05,p,0.000289795,s,6.53E-05,p,0.00019592
s,0.000238973,p,0.000716918,1,0.000145923,p,0.000437769,s,4.27E-05,p,0.000128204
s,0.000220965,p,0.000662896,1,0.000109768,p,0.000329303,s,3.43E-05,p,0.000102948
s,0.000211123,p,0.000633368,1,0.000126094,p,0.000378283,s,3.57E-05,p,0.000106956
s,0.00021915,p,0.000657451,1,9.49E-05,p,0.000284778,s,4.72E-05,p,0.00014161
s,0.000221149,p,0.000663448,1,0.000145614,p,0.000436843,s,6.81E-05,p,0.000204445
s,0.000208774,p,0.000626321,1,0.000100358,p,0.000301075,s,4.29E-05,p,0.000128798
s,0.000234712,p,0.000704137,1,8.78E-05,p,0.000263318,s,6.46E-05,p,0.000193847
s,0.000228916,p,0.000686749,1,0.000113033,p,0.0003391,s,5.63E-05,p,0.00016886
s,0.000223409,p,0.000670226,1,0.000103346,p,0.000310039,s,7.18E-05,p,0.000215332
s,0.000205378,p,0.000616133,1,0.000124935,p,0.000374805,s,4.61E-05,p,0.000138244
s,0.000215879,p,0.000647638,1,0.000183581,p,0.000550742,s,4.88E-05,p,0.000146273
s,0.000203497,p,0.00061049,1,0.000111397,p,0.000334191,s,6.36E-05,p,0.000190708
s,0.000165677,p,0.000497031,1,0.000120414,p,0.000361242,s,6.70E-05,p,0.000201112
s,0.000209036,p,0.000627108,1,0.000116762,p,0.000350285,s,3.53E-05,p,0.000105789
s,0.000223915,p,0.000671745,1,0.000120143,p,0.00036043,s,7.39E-05,p,0.000221568
s,0.000248126,p,0.000744379,1,0.000114948,p,0.000344845,s,5.78E-05,p,0.000173455
s,0.000218427,p,0.000655281,1,0.000105458,p,0.000316375,s,8.49E-05,p,0.000254825
s,0.000220581,p,0.000661743,1,0.000124063,p,0.000372189,s,6.07E-05,p,0.000182073
s,0.000199078,p,0.000597233,1,9.10E-05,p,0.000272904,s,5.13E-05,p,0.000153884
s,0.000220077,p,0.000660231,1,0.000128646,p,0.000385937,s,4.10E-05,p,0.000123088
s,0.000190007,p,0.00057002,1,0.000124021,p,0.000372063,s,5.34E-05,p,0.000160154
s,0.000158526,p,0.000475577,1,0.000141435,p,0.000424306,s,5.38E-05,p,0.00016136
s,0.000208017,p,0.00062405,1,0.00012219,p,0.000366569,s,4.85E-05,p,0.000145361
s,0.000225621,p,0.000676862,1,0.000103421,p,0.000310263,s,4.29E-05,p,0.000128835
s,0.000205149,p,0.000615448,1,0.000113407,p,0.000340222,s,6.54E-05,p,0.000196259
s,0.000224957,p,0.000674872,1,0.000104551,p,0.000313652,s,6.45E-05,p,0.000193429
s,0.00020606,p,0.000618179,1,0.000125112,p,0.000375335,s,5.10E-05,p,0.000152961
s,0.000230604,p,0.000691812,1,0.000128791,p,0.000386372,s,4.07E-05,p,0.000121994
s,0.000281918,p,0.000845754,1,0.000154125,p,0.000462375,s,5.09E-05,p,0.000152796
s,0.000182929,p,0.000548788,1,0.000136545,p,0.000409636,s,6.31E-05,p,0.000189276
s,0.000199599,p,0.000598798,1,0.000112917,p,0.000338752,s,5.22E-05,p,0.000156738
s,0.00021152,p,0.000634561,1,0.000142322,p,0.000426967,s,3.91E-05,p,0.000117381
s,0.000204651,p,0.000613954,1,9.13E-05,p,0.000273954,s,4.39E-05,p,0.000131825
s,0.000266175,p,0.000798525,1,0.000135417,p,0.000406252,s,4.98E-05,p,0.00014929
s,0.000238977,p,0.000716931,1,0.000146729,p,0.000440187,s,6.07E-05,p,0.000182135
s,0.000206341,p,0.000619024,1,9.69E-05,p,0.000290746,s,5.69E-05,p,0.000170832
s,0.000286737,p,0.00086021,1,0.000119234,p,0.000357703,s,3.14E-05,p,9.43E-05
s,0.000264231,p,0.000792694,1,0.000123593,p,0.000370778,s,6.39E-05,p,0.000191731
s,0.000220122,p,0.000660367,1,0.000107486,p,0.000322457,s,6.59E-05,p,0.000197576
s,0.000215513,p,0.000646539,1,0.000120627,p,0.000361881,s,4.42E-05,p,0.000132499
s,0.0002272,p,0.000681601,1,9.11E-05,p,0.000273283,s,5.64E-05,p,0.000169187
s,0.00020241,p,0.000607231,1,0.000106292,p,0.000318875,s,6.16E-05,p,0.000184849
s,0.000223295,p,0.000669885,1,0.000157123,p,0.00047137,s,5.69E-05,p,0.000170743
s,0.000243784,p,0.000731352,1,8.87E-05,p,0.000266135,s,6.87E-05,p,0.00020598
s,0.000221792,p,0.000665377,1,9.57E-05,p,0.000287176,s,2.31E-05,p,6.93E-05
s,0.000221007,p,0.000663021,1,0.000115214,p,0.000345642,s,5.54E-05,p,0.000166226
s,0.000199081,p,0.000597242,1,0.000139324,p,0.000417972,s,4.42E-05,p,0.000132632
s,0.000205314,p,0.000615941,1,6.76E-05,p,0.000202847,s,5.53E-05,p,0.000165938
s,0.000219879,p,0.000659637,1,8.74E-05,p,0.000262131,s,4.54E-05,p,0.00013621
s,0.000215134,p,0.000645401,1,9.75E-05,p,0.000292543,s,5.35E-05,p,0.000160614
s,0.00025485,p,0.00076455,1,0.000111215,p,0.000333644,s,3.24E-05,p,9.72E-05
s,0.000236944,p,0.000710833,1,0.000100529,p,0.000301586,s,4.29E-05,p,0.000128843
s,0.000228627,p,0.00068588,1,0.000107307,p,0.000321922,s,4.51E-05,p,0.000135346
s,0.000223146,p,0.000669439,1,0.000120986,p,0.000362957,s,2.55E-05,p,7.66E-05
s,0.000244184,p,0.000732553,1,0.000153375,p,0.000460126,s,5.50E-05,p,0.000164888
s,0.000204847,p,0.000614542,1,0.000135545,p,0.000406635,s,4.81E-05,p,0.000144254
s,0.000252378,p,0.000757133,1,0.000105799,p,0.000317397,s,3.93E-05,p,0.000117982
s,0.000200177,p,0.00060053,1,0.000165481,p,0.000496442,s,3.56E-05,p,0.000106878
s,0.000248478,p,0.000745435,1,0.000123442,p,0.000370326,s,5.86E-05,p,0.00017593
s,0.000183892,p,0.000551675,1,0.000135726,p,0.000407177,s,4.93E-05,p,0.000147905
s,0.000226373,p,0.000679118,1,9.79E-05,p,0.000293776,s,4.08E-05,p,0.000122374
s,0.000233048,p,0.000699144,1,0.000109049,p,0.000327147,s,6.01E-05,p,0.000180153
s,0.000220571,p,0.000661713,1,0.000141552,p,0.000424656,s,5.24E-05,p,0.000157142
s,0.000220131,p,0.000660393,1,0.000122081,p,0.000366244,s,5.66E-05,p,0.000169771
s,0.000233306,p,0.000699919,1,0.000124532,p,0.000373597,s,3.83E-05,p,0.000114839
s,0.000191962,p,0.000575885,1,0.000103625,p,0.000310874,s,4.77E-05,p,0.000143158
s,0.000214955,p,0.000644865,1,0.000118806,p,0.000356417,s,4.88E-05,p,0.00014643
s,0.000225277,p,0.000675831,1,0.00012376,p,0.000371281,s,3.35E-05,p,0.000100358
s,0.000229884,p,0.000689652,1,0.000130054,p,0.000390163,s,5.26E-05,p,0.000157916
s,0.000219612,p,0.000658837,1,0.000126728,p,0.000380184,s,5.63E-05,p,0.000168773
s,0.000232496,p,0.000697488,1,0.000113199,p,0.000339596,s,6.30E-05,p,0.000188965
s,0.000244489,p,0.000733466,1,0.000130875,p,0.000392625,s,5.23E-05,p,0.000156846
s,0.00020777,p,0.000623311,1,0.000103779,p,0.000311336,s,4.21E-05,p,0.000126154
s,0.000204607,p,0.00061382,1,0.00012207,p,0.00036621,s,4.72E-05,p,0.000141482
s,0.000185957,p,0.000557872,1,0.000140287,p,0.000420861,s,7.91E-05,p,0.000237326
s,0.000199541,p,0.000598624,1,0.000110104,p,0.000330312,s,2.88E-05,p,8.65E-05
s,0.000174601,p,0.000523802,1,0.000105257,p,0.000315771,s,3.49E-05,p,0.0001047
s,0.000205861,p,0.000617582,1,8.82E-05,p,0.000264566,s,4.98E-05,p,0.000149401
s,0.000232162,p,0.000696487,1,0.000112332,p,0.000336995,s,4.12E-05,p,0.000123723
s,0.000174983,p,0.000524949,1,0.000124904,p,0.000374712,s,4.00E-05,p,0.000119946
s,0.000250008,p,0.000750025,1,0.00011286,p,0.000338581,s,4.17E-05,p,0.00012507
s,0.000217525,p,0.000652575,1,0.00014985,p,0.000449549,s,4.56E-05,p,0.000136893
s,0.000195403,p,0.000586208,1,9.32E-05,p,0.000279459,s,6.25E-05,p,0.000187611
s,0.00020563,p,0.00061689,1,0.000116046,p,0.000348138,s,4.26E-05,p,0.000127709
s,0.000214634,p,0.000643903,1,0.000104782,p,0.000314347,s,3.17E-05,p,9.50E-05
s,0.000206052,p,0.000618155,1,0.000132366,p,0.000397098,s,6.15E-05,p,0.000184603
s,0.000219281,p,0.000657844,1,0.000125398,p,0.000376194,s,5.52E-05,p,0.000165682
s,0.000201963,p,0.00060589,1,0.000109782,p,0.000329347,s,5.45E-05,p,0.000163422
s,0.000231391,p,0.000694174,1,8.94E-05,p,0.00026812,s,2.64E-05,p,7.91E-05
s,0.000187504,p,0.000562511,1,0.000104711,p,0.000314132,s,7.21E-05,p,0.000216438
s,0.000187281,p,0.000561843,1,0.000144758,p,0.000434273,s,4.68E-05,p,0.000140444
s,0.000218846,p,0.000656537,1,0.000118213,p,0.000354639,s,4.99E-05,p,0.000149615
s,0.000279887,p,0.00083966,1,0.000102267,p,0.000306801,s,4.16E-05,p,0.000124757
s,0.000195602,p,0.000586806,1,9.58E-05,p,0.000287445,s,4.55E-05,p,0.000136398
s,0.000230909,p,0.000692726,1,0.000126874,p,0.000380623,s,5.44E-05,p,0.000163299
s,0.000230888,p,0.000692664,1,0.000111497,p,0.000334491,s,4.02E-05,p,0.000120572
s,0.000205493,p,0.000616479,1,0.000129401,p,0.000388204,s,5.40E-05,p,0.000162045
s,0.000220485,p,0.000661455,1,0.00015698,p,0.000470941,s,4.76E-05,p,0.000142724
s,0.000220313,p,0.000660939,1,0.000118482,p,0.000355446,s,4.02E-05,p,0.000120538
s,0.000206022,p,0.000618066,1,0.000103482,p,0.000310447,s,2.70E-05,p,8.11E-05
s,0.000234094,p,0.000702282,1,1.00E-04,p,0.000299907,s,5.85E-05,p,0.000175615
s,0.000262333,p,0.000787,1,0.000110856,p,0.000332569,s,4.92E-05,p,0.000147606
s,0.00026475,p,0.000794249,1,0.00011414,p,0.00034242,s,4.81E-05,p,0.000144202
s,0.000223193,p,0.000669578,1,0.000112498,p,0.000337493,s,5.82E-05,p,0.000174667
s,0.000227513,p,0.000682539,1,0.000107354,p,0.000322061,s,4.10E-05,p,0.000123038
s,0.000183582,p,0.000550745,1,9.84E-05,p,0.000295222,s,5.13E-05,p,0.000153856
s,0.000227054,p,0.000681162,1,0.000123393,p,0.00037018,s,3.49E-05,p,0.000104576
s,0.000203741,p,0.000611223,1,0.000129741,p,0.000389222,s,6.74E-05,p,0.000202247
s,0.000197155,p,0.000591464,1,0.000128396,p,0.000385187,s,5.53E-05,p,0.000165909
s,0.000207595,p,0.000622785,1,0.000152782,p,0.000458345,s,4.94E-05,p,0.000148118
s,0.000224001,p,0.000672004,1,0.000141072,p,0.000423217,s,5.79E-05,p,0.000173741
s,0.000172973,p,0.00051892,1,0.000107558,p,0.000322673,s,3.82E-05,p,0.000114727
s,0.000245032,p,0.000735096,1,0.000125708,p,0.000377125,s,6.26E-05,p,0.000187913
s,0.000224024,p,0.000672071,1,0.000124205,p,0.000372614,s,4.39E-05,p,0.000131765
s,0.00019043,p,0.000571289,1,0.000147975,p,0.000443925,s,5.73E-05,p,0.000171802
s,0.000231495,p,0.000694485,1,0.000101714,p,0.000305143,s,3.59E-05,p,0.000107756
s,0.000210115,p,0.000630345,1,0.000123652,p,0.000370956,s,5.41E-05,p,0.000162413
s,0.00023597,p,0.000707909,1,0.00013111,p,0.000393329,s,5.21E-05,p,0.000156286
s,0.00021692,p,0.00065076,1,0.000143775,p,0.000431324,s,4.48E-05,p,0.000134467
s,0.000199679,p,0.000599036,1,0.000119311,p,0.000357933,s,7.42E-05,p,0.0002226
s,0.000223211,p,0.000669633,1,0.000121932,p,0.000365795,s,3.95E-05,p,0.000118518
s,0.000195999,p,0.000587996,1,0.000133088,p,0.000399265,s,5.83E-05,p,0.000174767
s,0.000218566,p,0.000655698,1,0.000126477,p,0.00037943,s,6.44E-05,p,0.000193324
s,0.000193838,p,0.000581515,1,0.000151937,p,0.00045581,s,5.29E-05,p,0.000158643
s,0.00020139,p,0.000604171,1,9.16E-05,p,0.000274865,s,6.29E-05,p,0.000188624
s,0.000180177,p,0.000540531,1,0.000142952,p,0.000428856,s,6.02E-05,p,0.0001806
s,0.000171505,p,0.000514515,1,0.000119425,p,0.000358276,s,5.18E-05,p,0.000155349
s,0.000215317,p,0.000645951,1,0.000137103,p,0.000411308,s,5.05E-05,p,0.000151621
s,0.000204197,p,0.00061259,1,0.000103773,p,0.000311318,s,6.75E-05,p,0.000202525
s,0.000182911,p,0.000548733,1,0.000114746,p,0.000344237,s,4.88E-05,p,0.000146444
s,0.000234237,p,0.000702711,1,0.000106328,p,0.000318984,s,5.21E-05,p,0.000156425
s,0.000242213,p,0.00072664,1,0.00016481,p,0.00049443,s,4.82E-05,p,0.000144505
s,0.000245409,p,0.000736228,1,0.000117952,p,0.000353856,s,3.11E-05,p,9.34E-05
s,0.000214244,p,0.000642732,1,0.000103754,p,0.000311261,s,6.94E-05,p,0.000208226
s,0.000219354,p,0.000658061,1,0.000141488,p,0.000424464,s,5.39E-05,p,0.000161747
s,0.0001811,p,0.0005433,1,0.000118267,p,0.0003548,s,5.16E-05,p,0.000154899
s,0.000212649,p,0.000637948,1,0.000110024,p,0.000330073,s,5.58E-05,p,0.000167537
s,0.000248738,p,0.000746214,1,7.15E-05,p,0.000214481,s,3.86E-05,p,0.000115909
s,0.000237731,p,0.000713194,1,0.000110902,p,0.000332707,s,3.48E-05,p,0.00010453
s,0.000189991,p,0.000569974,1,0.000152426,p,0.000457277,s,5.28E-05,p,0.000158321
s,0.000199907,p,0.000599721,1,0.000131464,p,0.000394393,s,4.75E-05,p,0.000142597
s,0.000268399,p,0.000805196,1,0.000109578,p,0.000328733,s,5.23E-05,p,0.000157038
s,0.000222341,p,0.000667023,1,0.000106141,p,0.000318424,s,5.39E-05,p,0.000161569
s,0.000203073,p,0.000609218,1,0.000111289,p,0.000333867,s,4.26E-05,p,0.000127781
s,0.000202488,p,0.000607464,1,0.000129498,p,0.000388493,s,5.64E-05,p,0.000169091
s,0.00022282,p,0.000668459,1,9.49E-05,p,0.000284713,s,6.57E-05,p,0.000197144
s,0.000205023,p,0.00061507,1,0.000136444,p,0.000409331,s,5.18E-05,p,0.000155363
s,0.000208035,p,0.000624105,1,0.000120227,p,0.000360682,s,4.31E-05,p,0.000129336
s,0.000205481,p,0.000616442,1,0.000129095,p,0.000387284,s,4.90E-05,p,0.000146868
s,0.000197079,p,0.000591238,1,0.000122976,p,0.000368929,s,4.96E-05,p,0.000148874
s,0.000206548,p,0.000619644,1,0.00011833,p,0.000354989,s,5.75E-05,p,0.000172405
s,0.000218677,p,0.00065603,1,0.000109925,p,0.000329776,s,3.99E-05,p,0.000119789
s,0.000182289,p,0.000546866,1,0.000156856,p,0.000470568,s,3.71E-05,p,0.000111191
s,0.000214803,p,0.00064441,1,0.00013813,p,0.000414391,s,6.78E-05,p,0.000203359
s,0.000222063,p,0.000666189,1,0.000116237,p,0.000348711,s,4.03E-05,p,0.000120931
s,0.000237235,p,0.000711704,1,0.000123169,p,0.000369508,s,4.29E-05,p,0.0001287
s,0.000253513,p,0.000760538,1,0.000141203,p,0.000423609,s,3.84E-05,p,0.000115209
s,0.000199767,p,0.000599302,1,0.000135783,p,0.000407348,s,5.36E-05,p,0.000160945
s,0.000233102,p,0.000699306,1,0.000133435,p,0.000400304,s,5.47E-05,p,0.000164051
s,0.000255036,p,0.000765109,1,0.000111508,p,0.000334523,s,4.67E-05,p,0.000140217
s,0.000231962,p,0.000695886,1,0.000121892,p,0.000365676,s,4.18E-05,p,0.000125273
s,0.000203547,p,0.00061064,1,0.000146866,p,0.000440597,s,3.32E-05,p,9.96E-05
s,0.000254717,p,0.000764151,1,9.12E-05,p,0.000273498,s,6.48E-05,p,0.000194315
s,0.000222539,p,0.000667618,1,0.000108062,p,0.000324185,s,5.49E-05,p,0.000164704
s,0.000225514,p,0.000676542,1,0.000126144,p,0.000378432,s,4.75E-05,p,0.000142462
s,0.000291628,p,0.000874884,1,0.000117612,p,0.000352835,s,5.85E-05,p,0.000175502
s,0.000215708,p,0.000647123,1,9.23E-05,p,0.000276871,s,4.73E-05,p,0.000141807
s,0.000209023,p,0.00062707,1,0.000135251,p,0.000405754,s,5.12E-05,p,0.000153641
s,0.000282691,p,0.000848073,1,0.000115239,p,0.000345718,s,4.19E-05,p,0.000125801
s,0.000247059,p,0.000741176,1,0.000139681,p,0.000419042,s,4.81E-05,p,0.000144302
s,0.000242816,p,0.000728448,1,0.000134247,p,0.000402742,s,4.97E-05,p,0.000149041
s,0.000187501,p,0.000562504,1,0.00015716,p,0.00047148,s,4.08E-05,p,0.000122363
s,0.000207843,p,0.000623528,1,0.0001176,p,0.0003528,s,3.88E-05,p,0.000116279
s,0.000213856,p,0.000641568,1,0.000120129,p,0.000360388,s,3.68E-05,p,0.000110531
s,0.000187419,p,0.000562256,1,0.00015119,p,0.00045357,s,4.86E-05,p,0.000145757
s,0.000222932,p,0.000668796,1,0.000111296,p,0.000333887,s,5.31E-05,p,0.000159352
s,0.000257593,p,0.000772779,1,0.000124304,p,0.000372913,s,7.31E-05,p,0.000219348
s,0.00023477,p,0.000704309,1,0.000133065,p,0.000399194,s,5.60E-05,p,0.00016812
s,0.00022756,p,0.00068268,1,0.000106251,p,0.000318753,s,6.24E-05,p,0.00018718
s,0.00021406,p,0.000642181,1,0.000123102,p,0.000369306,s,7.03E-05,p,0.000210836
s,0.00019004,p,0.00057012,1,0.000103499,p,0.000310498,s,4.30E-05,p,0.00012894
s,0.000250576,p,0.000751727,1,0.000103779,p,0.000311338,s,4.78E-05,p,0.000143278
s,0.000202577,p,0.000607732,1,0.000143667,p,0.000431,s,4.30E-05,p,0.000128854
s,0.000228553,p,0.00068566,1,0.000141851,p,0.000425553,s,5.55E-05,p,0.000166495
s,0.000225297,p,0.000675892,1,0.000121555,p,0.000364664,s,4.70E-05,p,0.000141033
s,0.000238514,p,0.000715543,1,9.34E-05,p,0.000280233,s,5.65E-05,p,0.000169374
s,0.000243747,p,0.000731242,1,0.000122833,p,0.000368499,s,4.43E-05,p,0.00013304
s,0.000233459,p,0.000700378,1,0.000133434,p,0.000400302,s,3.98E-05,p,0.000119272
s,0.000211566,p,0.000634697,1,0.000127926,p,0.000383777,s,6.73E-05,p,0.000201764
s,0.00021765,p,0.000652951,1,9.25E-05,p,0.000277458,s,5.00E-05,p,0.000149934
s,0.00017585,p,0.000527549,1,0.000127508,p,0.000382523,s,6.56E-05,p,0.000196818
s,0.000258913,p,0.000776739,1,0.000105712,p,0.000317137,s,4.83E-05,p,0.000144799
s,0.000202982,p,0.000608947,1,0.000116491,p,0.000349474,s,4.23E-05,p,0.000126906
s,0.000196158,p,0.000588474,1,0.000109409,p,0.000328227,s,4.78E-05,p,0.000143277
s,0.000275145,p,0.000825436,1,0.000112759,p,0.000338277,s,4.02E-05,p,0.000120636
s,0.00020254,p,0.00060762,1,0.000134905,p,0.000404716,s,5.50E-05,p,0.000164955
s,0.000202245,p,0.000606736,1,9.36E-05,p,0.000280893,s,5.34E-05,p,0.000160079
s,0.000225432,p,0.000676297,1,0.000132089,p,0.000396266,s,4.95E-05,p,0.000148576
s,0.000248771,p,0.000746313,1,0.000106996,p,0.000320987,s,5.27E-05,p,0.000158147
s,0.000183973,p,0.000551919,1,0.00012619,p,0.00037857,s,4.48E-05,p,0.000134401
s,0.000215821,p,0.000647463,1,0.000107331,p,0.000321993,s,5.02E-05,p,0.000150455
s,0.000224926,p,0.000674777,1,9.96E-05,p,0.000298755,s,5.28E-05,p,0.00015851
s,0.000207416,p,0.000622249,1,0.000129709,p,0.000389128,s,5.30E-05,p,0.000159012
s,0.000203692,p,0.000611077,1,9.37E-05,p,0.000280951,s,4.87E-05,p,0.000146161
s,0.000217923,p,0.000653769,1,0.000105146,p,0.000315437,s,5.38E-05,p,0.000161307
s,0.000170415,p,0.000511245,1,0.000119671,p,0.000359012,s,3.30E-05,p,9.91E-05
s,0.000224863,p,0.000674589,1,0.000107336,p,0.000322007,s,0.000055913,p,0.000167739
s,0.000237756,p,0.000713267,1,0.000127095,p,0.000381284,s,5.95E-05,p,0.000178507
s,0.000219982,p,0.000659945,1,0.000121198,p,0.000363594,s,3.91E-05,p,0.000117162
s,0.000238114,p,0.000714342,1,0.000130734,p,0.000392201,s,2.70E-05,p,8.11E-05
s,0.000242632,p,0.000727895,1,0.000145884,p,0.000437653,s,4.99E-05,p,0.000149742
s,0.000230601,p,0.000691803,1,0.000111112,p,0.000333336,s,3.65E-05,p,0.000109366
s,0.000190198,p,0.000570593,1,0.000128989,p,0.000386968,s,3.70E-05,p,0.000111132
s,0.000222785,p,0.000668356,1,0.000116614,p,0.000349842,s,6.10E-05,p,0.000182909
s,0.000181936,p,0.000545808,1,0.000101833,p,0.000305498,s,7.76E-05,p,0.000232702
s,0.00018882,p,0.00056646,1,0.000146991,p,0.000440972,s,5.04E-05,p,0.00015115
s,0.000202396,p,0.000607187,1,0.000115562,p,0.000346687,s,5.59E-05,p,0.000167551
s,0.000221254,p,0.000663762,1,0.000114406,p,0.000343217,s,4.90E-05,p,0.000146971
s,0.000227506,p,0.000682517,1,9.95E-05,p,0.000298611,s,5.99E-05,p,0.000179557
s,0.000223235,p,0.000669705,1,0.000119021,p,0.000357063,s,4.07E-05,p,0.000122125
s,0.000246616,p,0.000739848,1,0.000108606,p,0.000325817,s,5.04E-05,p,0.000151221
s,0.00023467,p,0.000704011,1,0.000150982,p,0.000452947,s,5.89E-05,p,0.000176807
s,0.000225461,p,0.000676382,1,0.000127903,p,0.000383709,s,4.44E-05,p,0.000133143
s,0.000187762,p,0.000563286,1,9.67E-05,p,0.000290046,s,5.61E-05,p,0.000168216
s,0.000201682,p,0.000605047,1,0.000112154,p,0.000336461,s,4.83E-05,p,0.000145011
s,0.000228297,p,0.000684891,1,0.000119882,p,0.000359646,s,3.64E-05,p,0.000109191
s,0.000230549,p,0.000691648,1,8.52E-05,p,0.000255581,s,3.99E-05,p,0.000119839
s,0.000225914,p,0.000677741,1,9.89E-05,p,0.000296575,s,5.40E-05,p,0.000161966
