cond.s.m,echo.s.m,cond.p.m,echo.p.m
s,5.3032E-05,p,0.000159096
s,4.64973E-05,p,0.000139492
s,5.48231E-05,p,0.000164469
s,4.56973E-05,p,0.000137092
s,6.59907E-05,p,0.000197972
s,8.15841E-05,p,0.000244752
s,3.26575E-05,p,9.79726E-05
s,7.48727E-05,p,0.000224618
s,4.7569E-05,p,0.000142707
s,4.24486E-05,p,0.000127346
s,7.19055E-05,p,0.000215717
s,3.18739E-05,p,9.56218E-05
s,4.12517E-05,p,0.000123755
s,5.72838E-05,p,0.000171851
s,4.70416E-05,p,0.000141125
s,5.9303E-05,p,0.000177909
s,3.34368E-05,p,0.00010031
s,4.59211E-05,p,0.000137763
s,4.09343E-05,p,0.000122803
s,5.97229E-05,p,0.000179169
s,4.74414E-05,p,0.000142324
s,3.70674E-05,p,0.000111202
s,5.60687E-05,p,0.000168206
s,5.59921E-05,p,0.000167976
s,4.74966E-05,p,0.00014249
s,6.17383E-05,p,0.000185215
s,5.59218E-05,p,0.000167766
s,3.30287E-05,p,9.90861E-05
s,6.29622E-05,p,0.000188887
s,6.2375E-05,p,0.000187125
s,6.96559E-05,p,0.000208968
s,2.57367E-05,p,7.72102E-05
s,6.2281E-05,p,0.000186843
s,5.29729E-05,p,0.000158919
s,6.30424E-05,p,0.000189127
s,4.11533E-05,p,0.00012346
s,6.1826E-05,p,0.000185478
s,5.26432E-05,p,0.00015793
s,4.57137E-05,p,0.000137141
s,6.15202E-05,p,0.000184561
s,3.18415E-05,p,9.55245E-05
s,7.68729E-05,p,0.000230619
s,3.14786E-05,p,9.44358E-05
s,4.20924E-05,p,0.000126277
s,7.08287E-05,p,0.000212486
s,5.23883E-05,p,0.000157165
s,4.77922E-05,p,0.000143377
s,6.71839E-05,p,0.000201552
s,3.60862E-05,p,0.000108259
s,5.13129E-05,p,0.000153939
s,5.33064E-05,p,0.000159919
s,3.96164E-05,p,0.000118849
s,5.33641E-05,p,0.000160092
s,4.31134E-05,p,0.00012934
s,5.09317E-05,p,0.000152795
s,4.78761E-05,p,0.000143628
s,5.38225E-05,p,0.000161467
s,4.8005E-05,p,0.000144015
s,6.79056E-05,p,0.000203717
s,5.19608E-05,p,0.000155882
s,7.20564E-05,p,0.000216169
s,7.5164E-05,p,0.000225492
s,4.74106E-05,p,0.000142232
s,6.40268E-05,p,0.00019208
s,4.36986E-05,p,0.000131096
s,4.30707E-05,p,0.000129212
s,4.74961E-05,p,0.000142488
s,6.65156E-05,p,0.000199547
s,4.34985E-05,p,0.000130496
s,4.7197E-05,p,0.000141591
s,3.63944E-05,p,0.000109183
s,3.4721E-05,p,0.000104163
s,4.92418E-05,p,0.000147725
s,3.74192E-05,p,0.000112258
s,5.84761E-05,p,0.000175428
s,3.87581E-05,p,0.000116274
s,5.65082E-05,p,0.000169525
s,5.66904E-05,p,0.000170071
s,5.73508E-05,p,0.000172052
s,4.12282E-05,p,0.000123685
s,6.44842E-05,p,0.000193452
s,4.11564E-05,p,0.000123469
s,5.00557E-05,p,0.000150167
s,6.30568E-05,p,0.00018917
s,3.66657E-05,p,0.000109997
s,5.83737E-05,p,0.000175121
s,5.53624E-05,p,0.000166087
s,3.73343E-05,p,0.000112003
s,3.16093E-05,p,9.48278E-05
s,6.25837E-05,p,0.000187751
s,4.04864E-05,p,0.000121459
s,7.92824E-05,p,0.000237847
s,5.94259E-05,p,0.000178278
s,6.73372E-05,p,0.000202012
s,7.19619E-05,p,0.000215886
s,3.64234E-05,p,0.00010927
s,5.08018E-05,p,0.000152406
s,6.23772E-05,p,0.000187132
s,4.66678E-05,p,0.000140003
s,4.99804E-05,p,0.000149941
s,6.19237E-05,p,0.000185771
s,3.7018E-05,p,0.000111054
s,4.74597E-05,p,0.000142379
s,5.59754E-05,p,0.000167926
s,4.77456E-05,p,0.000143237
s,4.24903E-05,p,0.000127471
s,5.01471E-05,p,0.000150441
s,5.78363E-05,p,0.000173509
s,6.16223E-05,p,0.000184867
s,6.19159E-05,p,0.000185748
s,4.74883E-05,p,0.000142465
s,6.21532E-05,p,0.000186459
s,6.94472E-05,p,0.000208342
s,3.76087E-05,p,0.000112826
s,5.3571E-05,p,0.000160713
s,5.87381E-05,p,0.000176214
s,4.50494E-05,p,0.000135148
s,4.33791E-05,p,0.000130137
s,7.06114E-05,p,0.000211834
s,5.28954E-05,p,0.000158686
s,6.39349E-05,p,0.000191805
s,6.71751E-05,p,0.000201525
s,4.73807E-05,p,0.000142142
s,5.59165E-05,p,0.000167749
s,4.76341E-05,p,0.000142902
s,4.31056E-05,p,0.000129317
s,2.85013E-05,p,8.55038E-05
s,5.21029E-05,p,0.000156309
s,5.19508E-05,p,0.000155852
s,5.3278E-05,p,0.000159834
s,3.87238E-05,p,0.000116171
s,4.1487E-05,p,0.000124461
s,4.45699E-05,p,0.00013371
s,4.63819E-05,p,0.000139146
s,3.99293E-05,p,0.000119788
s,4.80252E-05,p,0.000144075
s,6.53399E-05,p,0.00019602
s,6.54759E-05,p,0.000196428
s,4.61713E-05,p,0.000138514
s,2.3732E-05,p,7.11961E-05
s,5.26155E-05,p,0.000157846
s,5.80484E-05,p,0.000174145
s,8.82998E-05,p,0.000264899
s,5.87754E-05,p,0.000176326
s,3.37348E-05,p,0.000101204
s,6.23305E-05,p,0.000186991
s,6.45286E-05,p,0.000193586
s,4.21964E-05,p,0.000126589
s,4.39646E-05,p,0.000131894
s,3.98491E-05,p,0.000119547
s,4.04743E-05,p,0.000121423
s,4.03837E-05,p,0.000121151
s,6.52156E-05,p,0.000195647
s,4.25002E-05,p,0.000127501
s,3.44165E-05,p,0.000103249
s,6.95016E-05,p,0.000208505
s,3.64297E-05,p,0.000109289
s,5.75121E-05,p,0.000172536
s,2.52803E-05,p,7.58408E-05
s,4.42163E-05,p,0.000132649
s,4.16785E-05,p,0.000125036
s,3.88127E-05,p,0.000116438
s,4.24125E-05,p,0.000127238
s,5.03594E-05,p,0.000151078
s,2.31665E-05,p,6.94996E-05
s,5.07471E-05,p,0.000152241
s,6.04064E-05,p,0.000181219
s,5.68381E-05,p,0.000170514
s,6.35017E-05,p,0.000190505
s,2.77917E-05,p,8.33751E-05
s,3.63041E-05,p,0.000108912
s,4.52418E-05,p,0.000135725
s,3.30038E-05,p,9.90113E-05
s,6.59422E-05,p,0.000197827
s,4.93639E-05,p,0.000148092
s,5.39928E-05,p,0.000161978
s,3.56902E-05,p,0.000107071
s,7.2971E-05,p,0.000218913
s,5.28955E-05,p,0.000158687
s,5.54247E-05,p,0.000166274
s,7.51335E-05,p,0.0002254
s,5.44739E-05,p,0.000163422
s,5.70638E-05,p,0.000171192
s,6.00808E-05,p,0.000180242
s,5.33421E-05,p,0.000160026
s,5.03237E-05,p,0.000150971
s,3.80602E-05,p,0.000114181
s,3.47459E-05,p,0.000104238
s,5.61228E-05,p,0.000168368
s,4.37808E-05,p,0.000131342
s,5.40381E-05,p,0.000162114
s,4.15882E-05,p,0.000124765
s,3.34943E-05,p,0.000100483
s,7.21159E-05,p,0.000216348
s,5.3626E-05,p,0.000160878
s,4.66369E-05,p,0.000139911
s,4.35723E-05,p,0.000130717
s,5.87131E-05,p,0.000176139
s,5.73427E-05,p,0.000172028
s,6.08189E-05,p,0.000182457
s,4.98719E-05,p,0.000149616
s,6.28366E-05,p,0.00018851
s,5.16058E-05,p,0.000154818
s,3.98571E-05,p,0.000119571
s,4.54119E-05,p,0.000136236
s,3.56905E-05,p,0.000107071
s,4.16251E-05,p,0.000124875
s,3.91148E-05,p,0.000117345
s,5.87583E-05,p,0.000176275
s,5.7206E-05,p,0.000171618
s,4.90327E-05,p,0.000147098
s,4.33981E-05,p,0.000130194
s,5.94411E-05,p,0.000178323
s,4.4644E-05,p,0.000133932
s,6.27883E-05,p,0.000188365
s,5.3776E-05,p,0.000161328
s,5.60764E-05,p,0.000168229
s,3.43279E-05,p,0.000102984
s,4.86074E-05,p,0.000145822
s,4.11963E-05,p,0.000123589
s,5.71734E-05,p,0.00017152
s,3.12318E-05,p,9.36953E-05
s,3.99754E-05,p,0.000119926
s,5.69211E-05,p,0.000170763
s,3.71613E-05,p,0.000111484
s,5.87781E-05,p,0.000176334
s,4.95058E-05,p,0.000148517
s,4.35138E-05,p,0.000130541
s,3.90009E-05,p,0.000117003
s,5.17896E-05,p,0.000155369
s,3.61921E-05,p,0.000108576
s,4.26265E-05,p,0.000127879
s,6.6766E-05,p,0.000200298
s,5.256E-05,p,0.00015768
s,3.8725E-05,p,0.000116175
s,4.23626E-05,p,0.000127088
s,5.09768E-05,p,0.00015293
s,5.77622E-05,p,0.000173286
s,4.38496E-05,p,0.000131549
s,6.07618E-05,p,0.000182285
s,6.27061E-05,p,0.000188118
s,3.91209E-05,p,0.000117363
s,7.4824E-05,p,0.000224472
s,5.00943E-05,p,0.000150283
s,4.13196E-05,p,0.000123959
s,6.38049E-05,p,0.000191415
s,4.21573E-05,p,0.000126472
s,7.18108E-05,p,0.000215432
s,7.04271E-05,p,0.000211281
s,4.37375E-05,p,0.000131212
s,5.90689E-05,p,0.000177207
s,5.00169E-05,p,0.000150051
s,4.54752E-05,p,0.000136426
s,6.04568E-05,p,0.00018137
s,5.13098E-05,p,0.00015393
s,4.88642E-05,p,0.000146593
s,4.58991E-05,p,0.000137697
s,4.71839E-05,p,0.000141552
s,4.68558E-05,p,0.000140567
s,4.60658E-05,p,0.000138198
s,5.39818E-05,p,0.000161946
s,7.1865E-05,p,0.000215595
s,4.5859E-05,p,0.000137577
