cond.s.m,echo.s.m,cond.p.m,echo.p.m
s,6.25095E-05,p,0.000187528
s,4.14048E-05,p,0.000124214
s,6.94928E-05,p,0.000208478
s,5.03607E-05,p,0.000151082
s,3.47704E-05,p,0.000104311
s,3.08107E-05,p,9.24322E-05
s,6.81065E-05,p,0.00020432
s,6.8753E-05,p,0.000206259
s,4.95977E-05,p,0.000148793
s,5.7808E-05,p,0.000173424
s,3.66927E-05,p,0.000110078
s,4.59235E-05,p,0.000137771
s,5.94667E-05,p,0.0001784
s,6.13107E-05,p,0.000183932
s,4.64678E-05,p,0.000139404
s,5.6003E-05,p,0.000168009
s,3.59145E-05,p,0.000107743
s,5.40338E-05,p,0.000162101
s,4.54068E-05,p,0.00013622
s,5.62208E-05,p,0.000168662
s,3.56578E-05,p,0.000106973
s,4.31981E-05,p,0.000129594
s,5.16868E-05,p,0.000155061
s,3.35629E-05,p,0.000100689
s,3.52358E-05,p,0.000105707
s,5.51624E-05,p,0.000165487
s,7.22184E-05,p,0.000216655
s,4.45181E-05,p,0.000133554
s,4.56334E-05,p,0.0001369
s,4.12684E-05,p,0.000123805
s,5.04415E-05,p,0.000151325
s,4.6583E-05,p,0.000139749
s,4.38124E-05,p,0.000131437
s,5.78062E-05,p,0.000173419
s,5.44995E-05,p,0.000163498
s,4.19207E-05,p,0.000125762
s,4.67237E-05,p,0.000140171
s,5.20574E-05,p,0.000156172
s,5.35102E-05,p,0.000160531
s,4.48419E-05,p,0.000134526
s,3.59919E-05,p,0.000107976
s,4.22458E-05,p,0.000126737
s,5.25459E-05,p,0.000157638
s,3.49572E-05,p,0.000104872
s,5.82201E-05,p,0.00017466
s,4.27284E-05,p,0.000128185
s,5.97712E-05,p,0.000179314
s,4.97496E-05,p,0.000149249
s,5.47759E-05,p,0.000164328
s,5.81142E-05,p,0.000174343
s,6.16267E-05,p,0.00018488
s,5.90038E-05,p,0.000177011
s,4.07993E-05,p,0.000122398
s,4.45243E-05,p,0.000133573
s,6.42125E-05,p,0.000192637
s,3.10216E-05,p,9.30648E-05
s,5.51319E-05,p,0.000165396
s,6.32834E-05,p,0.00018985
s,7.07193E-05,p,0.000212158
s,4.61185E-05,p,0.000138356
s,4.17474E-05,p,0.000125242
s,7.82716E-05,p,0.000234815
s,5.82906E-05,p,0.000174872
s,6.06805E-05,p,0.000182041
s,6.32149E-05,p,0.000189645
s,5.47772E-05,p,0.000164332
s,4.89887E-05,p,0.000146966
s,4.03377E-05,p,0.000121013
s,4.06457E-05,p,0.000121937
s,3.08371E-05,p,9.25112E-05
s,6.43865E-05,p,0.000193159
s,8.46637E-05,p,0.000253991
s,3.4596E-05,p,0.000103788
s,6.15056E-05,p,0.000184517
s,4.84872E-05,p,0.000145461
s,4.20999E-05,p,0.0001263
s,4.56221E-05,p,0.000136866
s,3.23523E-05,p,9.70568E-05
s,5.33764E-05,p,0.000160129
s,5.50649E-05,p,0.000165195
s,4.90225E-05,p,0.000147068
s,3.34768E-05,p,0.00010043
s,5.27998E-05,p,0.000158399
s,4.89075E-05,p,0.000146722
s,6.00633E-05,p,0.00018019
s,3.98759E-05,p,0.000119628
s,4.91414E-05,p,0.000147424
s,5.91894E-05,p,0.000177568
s,5.78447E-05,p,0.000173534
s,6.08851E-05,p,0.000182655
s,4.23134E-05,p,0.00012694
s,4.68663E-05,p,0.000140599
s,4.54334E-05,p,0.0001363
s,3.72834E-05,p,0.00011185
s,6.17734E-05,p,0.00018532
s,4.15167E-05,p,0.00012455
s,5.62823E-05,p,0.000168847
s,5.63674E-05,p,0.000169102
s,3.94018E-05,p,0.000118205
s,3.42866E-05,p,0.00010286
s,3.67134E-05,p,0.00011014
s,3.86202E-05,p,0.00011586
s,6.02309E-05,p,0.000180693
s,4.4365E-05,p,0.000133095
s,4.99244E-05,p,0.000149773
s,6.53273E-05,p,0.000195982
s,4.86392E-05,p,0.000145918
s,2.3307E-05,p,6.99209E-05
s,6.59258E-05,p,0.000197777
s,6.13823E-05,p,0.000184147
s,6.09984E-05,p,0.000182995
s,3.90307E-05,p,0.000117092
s,2.8521E-05,p,8.55629E-05
s,4.04575E-05,p,0.000121372
s,3.71334E-05,p,0.0001114
s,7.00012E-05,p,0.000210003
s,4.76664E-05,p,0.000142999
s,5.65111E-05,p,0.000169533
s,7.12967E-05,p,0.00021389
s,6.67917E-05,p,0.000200375
s,4.96003E-05,p,0.000148801
s,8.37E-05,p,0.0002511
s,2.94675E-05,p,8.84026E-05
s,4.09494E-05,p,0.000122848
s,5.94199E-05,p,0.00017826
s,5.06005E-05,p,0.000151802
s,5.95133E-05,p,0.00017854
s,5.54635E-05,p,0.000166391
s,4.24317E-05,p,0.000127295
s,5.22802E-05,p,0.00015684
s,3.37391E-05,p,0.000101217
s,5.41645E-05,p,0.000162493
s,5.71633E-05,p,0.00017149
s,4.68133E-05,p,0.00014044
s,3.6374E-05,p,0.000109122
s,6.17915E-05,p,0.000185374
s,6.11836E-05,p,0.000183551
s,4.23879E-05,p,0.000127164
s,3.89315E-05,p,0.000116794
s,6.68062E-05,p,0.000200419
s,4.80134E-05,p,0.00014404
s,5.82441E-05,p,0.000174732
s,3.39214E-05,p,0.000101764
s,6.0377E-05,p,0.000181131
s,5.0138E-05,p,0.000150414
s,6.27064E-05,p,0.000188119
s,4.444E-05,p,0.00013332
s,4.67786E-05,p,0.000140336
s,8.45655E-05,p,0.000253697
s,3.63148E-05,p,0.000108944
s,5.81264E-05,p,0.000174379
s,5.97568E-05,p,0.00017927
s,5.12446E-05,p,0.000153734
s,6.17131E-05,p,0.000185139
s,4.56374E-05,p,0.000136912
s,5.77738E-05,p,0.000173321
s,4.59362E-05,p,0.000137809
s,5.36335E-05,p,0.0001609
s,4.3875E-05,p,0.000131625
s,5.90739E-05,p,0.000177222
s,2.7277E-05,p,8.1831E-05
s,5.48905E-05,p,0.000164672
s,6.15681E-05,p,0.000184704
s,5.30442E-05,p,0.000159133
s,3.89742E-05,p,0.000116923
s,5.74653E-05,p,0.000172396
s,5.55821E-05,p,0.000166746
s,5.59065E-05,p,0.00016772
s,3.52825E-05,p,0.000105848
s,8.62641E-05,p,0.000258792
s,5.828E-05,p,0.00017484
s,6.59818E-05,p,0.000197945
s,6.59809E-05,p,0.000197943
s,5.01237E-05,p,0.000150371
s,5.10842E-05,p,0.000153253
s,4.9852E-05,p,0.000149556
s,3.32433E-05,p,9.97298E-05
s,5.85062E-05,p,0.000175518
s,4.73595E-05,p,0.000142079
s,8.74571E-05,p,0.000262371
s,5.01974E-05,p,0.000150592
s,5.35647E-05,p,0.000160694
s,5.80463E-05,p,0.000174139
s,3.63689E-05,p,0.000109107
s,5.40954E-05,p,0.000162286
s,5.86744E-05,p,0.000176023
s,4.17927E-05,p,0.000125378
s,3.95518E-05,p,0.000118655
s,4.31893E-05,p,0.000129568
s,2.54473E-05,p,7.6342E-05
s,7.4302E-05,p,0.000222906
s,5.22189E-05,p,0.000156657
s,4.86484E-05,p,0.000145945
s,2.96419E-05,p,8.89257E-05
s,5.81793E-05,p,0.000174538
s,5.99895E-05,p,0.000179968
s,2.90927E-05,p,8.72782E-05
s,4.45739E-05,p,0.000133722
s,4.36644E-05,p,0.000130993
s,3.91678E-05,p,0.000117503
s,5.9846E-05,p,0.000179538
s,3.51322E-05,p,0.000105397
s,3.56223E-05,p,0.000106867
s,5.34914E-05,p,0.000160474
s,5.61382E-05,p,0.000168415
s,6.28455E-05,p,0.000188537
s,3.7474E-05,p,0.000112422
s,4.48137E-05,p,0.000134441
s,5.16392E-05,p,0.000154917
s,4.50238E-05,p,0.000135071
s,4.99305E-05,p,0.000149791
s,6.09664E-05,p,0.000182899
s,3.86338E-05,p,0.000115901
s,4.79573E-05,p,0.000143872
s,4.66495E-05,p,0.000139949
s,2.40293E-05,p,7.20879E-05
s,3.64474E-05,p,0.000109342
s,6.3155E-05,p,0.000189465
s,3.90626E-05,p,0.000117188
s,5.61141E-05,p,0.000168342
s,4.94673E-05,p,0.000148402
s,4.45153E-05,p,0.000133546
s,3.78549E-05,p,0.000113565
s,4.00636E-05,p,0.000120191
s,4.41594E-05,p,0.000132478
s,3.93904E-05,p,0.000118171
s,4.03932E-05,p,0.00012118
s,7.48238E-05,p,0.000224471
s,5.45068E-05,p,0.00016352
s,4.27527E-05,p,0.000128258
s,5.14505E-05,p,0.000154351
s,5.79304E-05,p,0.000173791
s,7.80909E-05,p,0.000234273
s,4.80893E-05,p,0.000144268
s,4.76041E-05,p,0.000142812
s,3.79166E-05,p,0.00011375
s,2.63217E-05,p,7.89652E-05
s,4.08957E-05,p,0.000122687
s,4.13656E-05,p,0.000124097
s,5.84492E-05,p,0.000175348
s,4.5353E-05,p,0.000136059
s,4.66044E-05,p,0.000139813
s,5.87457E-05,p,0.000176237
s,5.0128E-05,p,0.000150384
s,4.45139E-05,p,0.000133542
s,4.47214E-05,p,0.000134164
s,5.23773E-05,p,0.000157132
s,5.90564E-05,p,0.000177169
s,6.62419E-05,p,0.000198726
s,4.77463E-05,p,0.000143239
s,4.83339E-05,p,0.000145002
s,5.09898E-05,p,0.000152969
s,6.95621E-05,p,0.000208686
s,6.34713E-05,p,0.000190414
s,5.73703E-05,p,0.000172111
s,3.71564E-05,p,0.000111469
s,5.67788E-05,p,0.000170336
s,5.9386E-05,p,0.000178158
s,9.30603E-05,p,0.000279181
s,3.79634E-05,p,0.00011389
s,4.33954E-05,p,0.000130186
s,4.83288E-05,p,0.000144986
s,3.78185E-05,p,0.000113455
s,6.39927E-05,p,0.000191978
s,3.5072E-05,p,0.000105216
s,4.96404E-05,p,0.000148921
s,4.87356E-05,p,0.000146207
s,4.44131E-05,p,0.000133239
s,6.06315E-05,p,0.000181895
s,3.94819E-05,p,0.000118446
s,4.85327E-05,p,0.000145598
s,5.08339E-05,p,0.000152502
s,3.54499E-05,p,0.00010635
s,5.32185E-05,p,0.000159655
s,4.11529E-05,p,0.000123459
s,5.18965E-05,p,0.00015569
s,4.68833E-05,p,0.00014065
s,5.28272E-05,p,0.000158482
s,4.84637E-05,p,0.000145391
s,4.53567E-05,p,0.00013607
s,6.37073E-05,p,0.000191122
s,4.90831E-05,p,0.000147249
s,3.07618E-05,p,9.22854E-05
s,5.81905E-05,p,0.000174572
s,3.63621E-05,p,0.000109086
s,6.00233E-05,p,0.00018007
s,2.81404E-05,p,8.44212E-05
s,5.0167E-05,p,0.000150501
s,6.09763E-05,p,0.000182929
s,5.74511E-05,p,0.000172353
s,6.19932E-05,p,0.00018598
s,5.52954E-05,p,0.000165886
s,4.29234E-05,p,0.00012877
s,3.24498E-05,p,9.73493E-05
s,4.9234E-05,p,0.000147702
s,7.35506E-05,p,0.000220652
s,4.78577E-05,p,0.000143573
s,4.13749E-05,p,0.000124125
s,6.12287E-05,p,0.000183686
s,5.61031E-05,p,0.000168309
s,3.69966E-05,p,0.00011099
s,3.40429E-05,p,0.000102129
s,5.26519E-05,p,0.000157956
s,4.77105E-05,p,0.000143132
s,4.71141E-05,p,0.000141342
s,5.49873E-05,p,0.000164962
s,3.76452E-05,p,0.000112935
s,6.59497E-05,p,0.000197849
s,6.10659E-05,p,0.000183198
s,5.00616E-05,p,0.000150185
s,8.09718E-05,p,0.000242915
s,5.85978E-05,p,0.000175793
s,6.2153E-05,p,0.000186459
s,5.17265E-05,p,0.000155179
s,4.18555E-05,p,0.000125566
s,4.15823E-05,p,0.000124747
s,4.52091E-05,p,0.000135627
s,5.37634E-05,p,0.00016129
s,4.79179E-05,p,0.000143754
s,5.3705E-05,p,0.000161115
s,3.66638E-05,p,0.000109992
s,5.35417E-05,p,0.000160625
s,5.41257E-05,p,0.000162377
s,4.03138E-05,p,0.000120941
s,6.0425E-05,p,0.000181275
s,3.72647E-05,p,0.000111794
s,4.85778E-05,p,0.000145733
s,2.62362E-05,p,7.87085E-05
s,7.405E-05,p,0.00022215
s,6.50403E-05,p,0.000195121
s,5.6898E-05,p,0.000170694
s,6.17658E-05,p,0.000185297
s,5.7069E-05,p,0.000171207
s,7.8533E-05,p,0.000235599
s,3.85958E-05,p,0.000115787
s,5.36413E-05,p,0.000160924
s,4.869E-05,p,0.00014607
s,3.35577E-05,p,0.000100673
s,4.53232E-05,p,0.000135969
s,4.07607E-05,p,0.000122282
s,6.91035E-05,p,0.000207311
s,4.59922E-05,p,0.000137977
s,4.48222E-05,p,0.000134467
s,4.13233E-05,p,0.00012397
s,3.81475E-05,p,0.000114442
s,6.03501E-05,p,0.00018105
s,4.05328E-05,p,0.000121599
s,4.48333E-05,p,0.0001345
s,5.18542E-05,p,0.000155562
s,3.52041E-05,p,0.000105612
s,5.6428E-05,p,0.000169284
s,4.93406E-05,p,0.000148022
s,4.4743E-05,p,0.000134229
s,4.55029E-05,p,0.000136509
s,3.99303E-05,p,0.000119791
s,4.44229E-05,p,0.000133269
s,5.5011E-05,p,0.000165033
s,6.79857E-05,p,0.000203957
s,5.96016E-05,p,0.000178805
s,5.65204E-05,p,0.000169561
s,5.39711E-05,p,0.000161913
s,5.85008E-05,p,0.000175502
s,4.91447E-05,p,0.000147434
s,5.28797E-05,p,0.000158639
s,4.52142E-05,p,0.000135643
s,3.49438E-05,p,0.000104831
s,6.48854E-05,p,0.000194656
s,6.44726E-05,p,0.000193418
s,3.98384E-05,p,0.000119515
s,7.50032E-05,p,0.00022501
s,4.93042E-05,p,0.000147913
s,7.48062E-05,p,0.000224419
s,3.32516E-05,p,9.97547E-05
s,3.92379E-05,p,0.000117714
s,5.40276E-05,p,0.000162083
s,4.56347E-05,p,0.000136904
s,5.26675E-05,p,0.000158002
s,6.62342E-05,p,0.000198702
s,6.06846E-05,p,0.000182054
s,4.2866E-05,p,0.000128598
s,4.98818E-05,p,0.000149645
s,5.98517E-05,p,0.000179555
s,5.67493E-05,p,0.000170248
s,4.93205E-05,p,0.000147961
s,4.01318E-05,p,0.000120395
s,4.86156E-05,p,0.000145847
s,6.36335E-05,p,0.0001909
s,5.29531E-05,p,0.000158859
s,5.3763E-05,p,0.000161289
s,4.55131E-05,p,0.000136539
s,5.06374E-05,p,0.000151912
s,2.90673E-05,p,8.72018E-05
s,6.80208E-05,p,0.000204062
s,5.85437E-05,p,0.000175631
s,5.18753E-05,p,0.000155626
s,3.78362E-05,p,0.000113509
s,5.19625E-05,p,0.000155887
s,5.36554E-05,p,0.000160966
s,5.65215E-05,p,0.000169565
s,4.61724E-05,p,0.000138517
s,3.87016E-05,p,0.000116105
s,5.44569E-05,p,0.000163371
s,5.84116E-05,p,0.000175235
s,5.59189E-05,p,0.000167757
s,5.47618E-05,p,0.000164285
s,3.4846E-05,p,0.000104538
s,4.20815E-05,p,0.000126244
s,3.95524E-05,p,0.000118657
s,6.3947E-05,p,0.000191841
s,4.68038E-05,p,0.000140411
s,5.3654E-05,p,0.000160962
s,2.48514E-05,p,7.45541E-05
s,4.41852E-05,p,0.000132556
s,6.47217E-05,p,0.000194165
s,5.07246E-05,p,0.000152174
s,3.57853E-05,p,0.000107356
s,4.59493E-05,p,0.000137848
s,3.73397E-05,p,0.000112019
s,4.07815E-05,p,0.000122345
s,7.10992E-05,p,0.000213297
s,4.81268E-05,p,0.00014438
s,4.76668E-05,p,0.000143
s,4.55967E-05,p,0.00013679
s,5.29909E-05,p,0.000158973
s,4.3597E-05,p,0.000130791
s,4.94283E-05,p,0.000148285
s,5.25062E-05,p,0.000157519
s,4.84825E-05,p,0.000145448
s,4.72532E-05,p,0.00014176
s,3.44352E-05,p,0.000103306
s,5.88928E-05,p,0.000176678
s,6.13433E-05,p,0.00018403
s,5.28877E-05,p,0.000158663
s,4.58844E-05,p,0.000137653
s,5.22783E-05,p,0.000156835
s,4.22802E-05,p,0.000126841
s,3.7124E-05,p,0.000111372
s,5.65342E-05,p,0.000169603
s,3.02728E-05,p,9.08185E-05
s,4.6008E-05,p,0.000138024
s,3.50535E-05,p,0.00010516
s,4.33621E-05,p,0.000130086
s,6.5982E-05,p,0.000197946
s,4.47302E-05,p,0.000134191
s,4.18569E-05,p,0.000125571
s,6.02772E-05,p,0.000180832
s,4.49037E-05,p,0.000134711
s,5.78273E-05,p,0.000173482
s,5.77964E-05,p,0.000173389
s,5.06693E-05,p,0.000152008
s,4.53586E-05,p,0.000136076
s,5.75538E-05,p,0.000172661
s,6.93715E-05,p,0.000208114
s,5.44199E-05,p,0.00016326
s,6.58154E-05,p,0.000197446
s,4.08412E-05,p,0.000122524
s,5.65517E-05,p,0.000169655
s,5.30654E-05,p,0.000159196
s,3.42429E-05,p,0.000102729
s,4.78661E-05,p,0.000143598
s,5.16517E-05,p,0.000154955
s,6.2523E-05,p,0.000187569
s,5.41044E-05,p,0.000162313
s,5.63819E-05,p,0.000169146
s,4.64174E-05,p,0.000139252
s,5.05044E-05,p,0.000151513
s,4.62626E-05,p,0.000138788
s,3.93326E-05,p,0.000117998
s,6.90848E-05,p,0.000207254
s,4.53901E-05,p,0.00013617
s,3.97616E-05,p,0.000119285
s,4.63428E-05,p,0.000139029
s,6.33822E-05,p,0.000190146
s,5.08044E-05,p,0.000152413
s,5.61282E-05,p,0.000168385
s,5.78148E-05,p,0.000173444
s,5.80112E-05,p,0.000174034
s,4.01866E-05,p,0.00012056
s,4.83989E-05,p,0.000145197
s,6.22421E-05,p,0.000186726
s,6.65446E-05,p,0.000199634
s,5.21533E-05,p,0.00015646
s,5.41529E-05,p,0.000162459
s,3.73754E-05,p,0.000112126
s,4.56312E-05,p,0.000136894
s,6.40442E-05,p,0.000192132
s,5.55483E-05,p,0.000166645
s,4.61465E-05,p,0.000138439
s,3.73597E-05,p,0.000112079
s,5.6632E-05,p,0.000169896
s,4.85145E-05,p,0.000145544
s,3.19436E-05,p,9.58309E-05
s,3.47015E-05,p,0.000104105
s,3.45338E-05,p,0.000103601
s,4.86416E-05,p,0.000145925
s,4.79071E-05,p,0.000143721
s,4.00946E-05,p,0.000120284
s,3.44468E-05,p,0.00010334
s,6.234E-05,p,0.00018702
s,6.43841E-05,p,0.000193152
s,5.60836E-05,p,0.000168251
s,5.9834E-05,p,0.000179502
s,5.63045E-05,p,0.000168914
s,3.83126E-05,p,0.000114938
s,3.9911E-05,p,0.000119733
s,6.22748E-05,p,0.000186824
s,2.96835E-05,p,8.90504E-05
