cond.s.m,echo.1.3,cond.p.m,echo.p.3,cond.s.m,echo.1.3,cond.p.m,echo.p.3
s,0.000107918,p,0.000323753,s,4.23186E-05,p,0.000126956
s,0.000108015,p,0.000324045,s,3.89387E-05,p,0.000116816
s,0.000144873,p,0.00043462,s,4.09737E-05,p,0.000122921
s,8.56543E-05,p,0.000256963,s,4.47854E-05,p,0.000134356
s,0.000109605,p,0.000328815,s,4.68621E-05,p,0.000140586
s,9.84073E-05,p,0.000295222,s,4.45376E-05,p,0.000133613
s,9.81525E-05,p,0.000294458,s,4.45617E-05,p,0.000133685
s,0.000115917,p,0.000347751,s,3.71013E-05,p,0.000111304
s,0.000101384,p,0.000304153,s,5.30735E-05,p,0.000159221
s,0.000110468,p,0.000331403,s,5.29761E-05,p,0.000158928
s,8.44333E-05,p,0.0002533,s,4.81161E-05,p,0.000144348
s,0.000110355,p,0.000331065,s,4.67902E-05,p,0.00014037
s,8.31066E-05,p,0.00024932,s,4.2834E-05,p,0.000128502
s,0.000121306,p,0.000363917,s,5.15945E-05,p,0.000154784
s,9.94628E-05,p,0.000298388,s,5.31633E-05,p,0.00015949
s,0.00010213,p,0.00030639,s,3.94872E-05,p,0.000118462
s,0.00010117,p,0.00030351,s,3.88731E-05,p,0.000116619
s,0.000111835,p,0.000335504,s,3.94494E-05,p,0.000118348
s,0.000101583,p,0.00030475,s,4.55279E-05,p,0.000136584
s,0.000104481,p,0.000313444,s,4.74417E-05,p,0.000142325
s,0.000103538,p,0.000310613,s,5.49923E-05,p,0.000164977
s,0.000108499,p,0.000325496,s,5.62693E-05,p,0.000168808
s,0.000118937,p,0.000356811,s,4.87188E-05,p,0.000146156
s,0.000105635,p,0.000316906,s,4.91499E-05,p,0.00014745
s,0.000135517,p,0.00040655,s,3.5869E-05,p,0.000107607
s,0.000135286,p,0.000405858,s,4.62785E-05,p,0.000138835
s,0.000118602,p,0.000355805,s,5.30214E-05,p,0.000159064
s,0.000115851,p,0.000347553,s,4.30823E-05,p,0.000129247
s,0.00010657,p,0.000319711,s,4.61636E-05,p,0.000138491
s,0.000112228,p,0.000336685,s,3.81277E-05,p,0.000114383
s,0.000109655,p,0.000328965,s,5.78739E-05,p,0.000173622
s,0.000109126,p,0.000327379,s,5.36091E-05,p,0.000160827
s,0.000125066,p,0.000375197,s,0.000048802,p,0.000146406
s,0.000105426,p,0.000316277,s,4.83568E-05,p,0.00014507
s,0.000101707,p,0.000305122,s,5.09705E-05,p,0.000152912
s,0.000114577,p,0.000343731,s,5.82215E-05,p,0.000174665
s,9.75731E-05,p,0.000292719,s,4.87841E-05,p,0.000146352
s,0.000108717,p,0.000326151,s,4.81299E-05,p,0.00014439
s,0.000114503,p,0.000343509,s,4.4676E-05,p,0.000134028
s,0.000107281,p,0.000321844,s,5.84185E-05,p,0.000175255
s,9.45638E-05,p,0.000283691,s,4.55697E-05,p,0.000136709
s,9.89535E-05,p,0.00029686,s,4.49603E-05,p,0.000134881
s,0.000103721,p,0.000311162,s,5.22484E-05,p,0.000156745
s,0.000100886,p,0.000302659,s,4.26656E-05,p,0.000127997
s,9.89946E-05,p,0.000296984,s,4.76183E-05,p,0.000142855
s,0.000105044,p,0.000315132,s,5.53785E-05,p,0.000166136
s,0.000106552,p,0.000319657,s,4.40592E-05,p,0.000132178
s,0.000105027,p,0.000315082,s,3.48975E-05,p,0.000104692
s,9.63141E-05,p,0.000288942,s,4.67468E-05,p,0.00014024
