cond.s.m,echo.1.3,cond.p.m,echo.p.3
s,0.000125931,p,0.000377794
s,9.4541E-05,p,0.000283623
s,0.000115367,p,0.0003461
s,0.000131678,p,0.000395034
s,0.00012554,p,0.00037662
s,0.000105758,p,0.000317275
s,0.00012804,p,0.00038412
s,0.000103233,p,0.0003097
s,0.000124103,p,0.000372308
s,0.000114568,p,0.000343704
s,0.000127177,p,0.000381531
s,0.000100491,p,0.000301472
s,0.00011837,p,0.000355109
s,0.000118159,p,0.000354476
s,0.000121496,p,0.000364488
s,0.000114295,p,0.000342886
s,0.000124386,p,0.000373157
s,0.000113993,p,0.00034198
s,9.97117E-05,p,0.000299135
s,0.000105696,p,0.000317087
s,0.000101816,p,0.000305449
s,0.000112476,p,0.000337427
s,0.000100047,p,0.00030014
s,0.00011109,p,0.000333271
s,0.000141514,p,0.000424541
s,0.000108699,p,0.000326097
s,0.000140896,p,0.000422688
s,0.000113251,p,0.000339754
s,0.000119733,p,0.0003592
s,0.000102997,p,0.000308992
s,0.000123345,p,0.000370036
s,0.000122731,p,0.000368193
s,0.000131727,p,0.00039518
s,0.000104069,p,0.000312207
s,9.92661E-05,p,0.000297798
s,0.000120825,p,0.000362475
s,0.000101324,p,0.000303973
s,0.000116636,p,0.000349907
s,0.000132157,p,0.00039647
s,0.000107266,p,0.000321799
s,0.000106725,p,0.000320176
s,0.000109609,p,0.000328826
s,0.000102948,p,0.000308844
s,9.86784E-05,p,0.000296035
s,0.000101492,p,0.000304477
s,0.000111596,p,0.000334787
s,0.000118481,p,0.000355442
s,0.000112144,p,0.000336432
s,0.00010539,p,0.000316171
s,0.000115995,p,0.000347986
s,0.000116358,p,0.000349075
s,0.000127263,p,0.000381789
s,9.7234E-05,p,0.000291702
s,0.000124919,p,0.000374758
s,9.7167E-05,p,0.000291501
s,0.000124384,p,0.000373153
s,0.000128386,p,0.000385158
s,0.000119216,p,0.000357647
s,0.000103025,p,0.000309074
s,8.95752E-05,p,0.000268726
s,0.000108854,p,0.000326563
s,0.000109551,p,0.000328654
s,9.47269E-05,p,0.000284181
s,0.000109335,p,0.000328005
s,0.000106469,p,0.000319408
s,0.000112576,p,0.000337728
s,0.000106346,p,0.000319038
s,0.000114451,p,0.000343353
s,0.00011206,p,0.00033618
s,0.000122974,p,0.000368921
s,0.000122497,p,0.000367491
s,0.000112198,p,0.000336595
s,0.000104326,p,0.000312979
s,0.00010448,p,0.000313441
s,0.00012669,p,0.00038007
s,0.00010781,p,0.000323431
s,0.000100745,p,0.000302234
s,9.89777E-05,p,0.000296933
s,0.000141767,p,0.0004253
s,0.000123945,p,0.000371834
s,0.000124779,p,0.000374336
s,9.82587E-05,p,0.000294776
s,0.000124851,p,0.000374553
s,9.96678E-05,p,0.000299003
s,0.000110405,p,0.000331215
s,0.000109133,p,0.000327398
s,0.000117018,p,0.000351053
s,0.000126781,p,0.000380344
s,0.000123129,p,0.000369388
s,0.000105223,p,0.000315668
s,0.000125301,p,0.000375903
s,8.424E-05,p,0.00025272
s,0.000113126,p,0.000339378
s,0.000113658,p,0.000340973
s,0.000103268,p,0.000309804
s,0.000115736,p,0.000347207
s,0.000113567,p,0.000340701
s,0.000143552,p,0.000430657
s,0.000100327,p,0.00030098
s,0.000121849,p,0.000365546
s,0.000121263,p,0.000363788
s,0.000106483,p,0.00031945
s,9.61929E-05,p,0.000288579
s,9.6985E-05,p,0.000290955
s,9.83285E-05,p,0.000294986
s,0.000110924,p,0.000332772
s,0.000104264,p,0.000312792
s,0.000117574,p,0.000352721
s,0.000132501,p,0.000397502
s,0.000103611,p,0.000310834
s,0.000112472,p,0.000337416
s,0.000103456,p,0.000310367
s,0.000105583,p,0.000316748
s,0.000108772,p,0.000326317
s,0.000107046,p,0.000321139
s,0.000131302,p,0.000393906
s,0.000120591,p,0.000361774
s,0.000131192,p,0.000393575
s,0.000103762,p,0.000311287
s,0.000110941,p,0.000332822
s,0.000123226,p,0.000369678
s,0.000112836,p,0.000338509
s,0.000122145,p,0.000366436
s,0.000111395,p,0.000334185
s,0.0001217,p,0.0003651
s,0.000101434,p,0.000304303
s,0.000133606,p,0.000400819
s,9.74571E-05,p,0.000292371
s,0.000123405,p,0.000370215
s,0.000116773,p,0.000350319
s,9.98467E-05,p,0.00029954
s,9.80518E-05,p,0.000294155
s,0.00010698,p,0.000320939
s,0.000108363,p,0.000325088
s,0.00010394,p,0.000311819
s,0.000106469,p,0.000319408
s,9.6028E-05,p,0.000288084
s,0.000131488,p,0.000394465
s,0.000119505,p,0.000358514
s,8.21085E-05,p,0.000246326
s,0.000112418,p,0.000337255
s,0.000111305,p,0.000333916
s,0.00011559,p,0.000346771
s,0.00010354,p,0.00031062
s,0.000147876,p,0.000443627
s,0.000114815,p,0.000344444
s,0.00014689,p,0.000440669
s,9.2695E-05,p,0.000278085
s,0.00010906,p,0.000327179
s,0.000133599,p,0.000400797
s,0.000102642,p,0.000307927
s,0.000108712,p,0.000326135
s,0.000120619,p,0.000361856
s,0.000106463,p,0.000319389
s,0.000118255,p,0.000354765
s,0.000123594,p,0.000370782
s,0.000107456,p,0.000322368
s,0.000113729,p,0.000341188
s,0.000100003,p,0.000300009
s,0.000115144,p,0.000345432
s,0.000115403,p,0.000346208
s,0.00011404,p,0.000342119
s,0.00010656,p,0.000319679
s,0.000102245,p,0.000306735
s,0.000114884,p,0.000344652
s,0.00010649,p,0.000319469
s,0.000103348,p,0.000310043
s,0.000107901,p,0.000323703
s,9.88156E-05,p,0.000296447
s,0.000105018,p,0.000315054
s,8.37645E-05,p,0.000251294
s,0.000109858,p,0.000329573
s,0.00010352,p,0.00031056
s,0.000129847,p,0.00038954
s,0.00010187,p,0.000305609
s,9.14972E-05,p,0.000274492
s,0.000121488,p,0.000364463
s,0.000109042,p,0.000327127
s,9.96401E-05,p,0.00029892
s,8.19585E-05,p,0.000245875
s,8.00268E-05,p,0.00024008
s,0.00013045,p,0.00039135
s,0.000109147,p,0.000327442
s,0.000110774,p,0.000332321
s,0.000124243,p,0.000372729
s,0.000147325,p,0.000441976
s,0.000125573,p,0.000376719
s,0.000104564,p,0.000313692
s,0.000126521,p,0.000379563
s,9.79198E-05,p,0.000293759
s,0.000119021,p,0.000357062
s,8.97937E-05,p,0.000269381
s,0.00012482,p,0.000374459
s,0.000110107,p,0.000330322
s,9.09865E-05,p,0.000272959
s,0.000123653,p,0.000370958
s,0.000119021,p,0.000357064
s,8.75099E-05,p,0.00026253
s,0.000116596,p,0.000349788
s,9.41722E-05,p,0.000282517
s,0.0001222,p,0.0003666
s,0.000117502,p,0.000352507
s,0.000111492,p,0.000334477
s,9.88063E-05,p,0.000296419
s,0.000102796,p,0.000308388
s,0.000114792,p,0.000344377
s,0.000106963,p,0.00032089
s,0.000120065,p,0.000360195
s,0.00012624,p,0.00037872
s,0.00012878,p,0.000386339
s,0.000110674,p,0.000332023
s,0.000119235,p,0.000357705
s,0.000107936,p,0.000323808
s,0.000109186,p,0.000327557
s,0.000123208,p,0.000369625
s,0.000129847,p,0.000389542
s,0.000124444,p,0.000373333
s,0.000127548,p,0.000382643
s,0.000139759,p,0.000419276
s,9.54004E-05,p,0.000286201
