cond.s.m,echo.1.3,cond.p.m,echo.p.3
s,0.000189041,p,0.000567123
s,0.000204746,p,0.000614239
s,0.00026825,p,0.000804749
s,0.000203203,p,0.00060961
s,0.000252764,p,0.000758292
s,0.000243623,p,0.00073087
s,0.000216392,p,0.000649175
s,0.000189594,p,0.000568783
s,0.000195944,p,0.000587833
s,0.000242457,p,0.000727372
s,0.00018117,p,0.000543509
s,0.000206147,p,0.000618441
s,0.00026075,p,0.000782251
s,0.000220487,p,0.00066146
s,0.000224896,p,0.000674688
s,0.000172816,p,0.000518449
s,0.000186704,p,0.000560113
s,0.00024809,p,0.000744269
s,0.000212939,p,0.000638817
s,0.000249763,p,0.00074929
s,0.00015515,p,0.00046545
s,0.000231031,p,0.000693092
s,0.000209474,p,0.000628422
s,0.000174824,p,0.000524472
s,0.000202491,p,0.000607474
s,0.000246293,p,0.000738878
s,0.000183456,p,0.000550369
s,0.000228779,p,0.000686337
s,0.000205332,p,0.000615996
s,0.000214198,p,0.000642593
s,0.000202738,p,0.000608215
s,0.000245948,p,0.000737843
s,0.000206504,p,0.000619513
s,0.000251096,p,0.000753287
s,0.000201042,p,0.000603125
s,0.000250089,p,0.000750268
s,0.000227191,p,0.000681572
s,0.000217068,p,0.000651205
s,0.000259524,p,0.000778571
s,0.000220983,p,0.000662949
s,0.000208218,p,0.000624654
s,0.000195666,p,0.000586997
s,0.000203756,p,0.000611267
s,0.000240702,p,0.000722107
s,0.000199664,p,0.000598991
s,0.000211048,p,0.000633143
s,0.000244826,p,0.000734477
s,0.000220973,p,0.00066292
s,0.000208904,p,0.000626712
s,0.000242191,p,0.000726572
s,0.000231955,p,0.000695864
s,0.000160522,p,0.000481566
s,0.000199355,p,0.000598066
s,0.000187848,p,0.000563544
s,0.000226,p,0.000678001
s,0.000229535,p,0.000688606
s,0.000219631,p,0.000658894
s,0.000199867,p,0.000599602
s,0.000239921,p,0.000719764
s,0.00018096,p,0.000542881
s,0.000258073,p,0.000774218
s,0.000225865,p,0.000677594
s,0.000235217,p,0.000705652
s,0.000196045,p,0.000588136
s,0.000205529,p,0.000616586
s,0.000212416,p,0.000637248
s,0.000174073,p,0.00052222
s,0.000232187,p,0.00069656
s,0.000218939,p,0.000656818
s,0.00021271,p,0.00063813
s,0.00021522,p,0.00064566
s,0.000186354,p,0.000559063
s,0.000227342,p,0.000682027
s,0.00023601,p,0.000708029
s,0.000190844,p,0.000572531
s,0.000185669,p,0.000557007
s,0.000208537,p,0.000625611
s,0.000203529,p,0.000610587
s,0.000208455,p,0.000625364
s,0.000232556,p,0.000697667
s,0.000188402,p,0.000565205
s,0.00027863,p,0.00083589
s,0.000216414,p,0.000649241
s,0.000211252,p,0.000633757
s,0.000207001,p,0.000621003
s,0.000230945,p,0.000692836
s,0.000192772,p,0.000578317
s,0.000225016,p,0.000675049
s,0.000219725,p,0.000659174
s,0.000180173,p,0.00054052
s,0.000200245,p,0.000600736
s,0.000221044,p,0.000663132
s,0.000194504,p,0.000583513
s,0.000226516,p,0.000679549
s,0.000217295,p,0.000651885
s,0.000194303,p,0.000582909
s,0.00025482,p,0.000764459
s,0.000224904,p,0.000674713
s,0.000245715,p,0.000737145
s,0.000189407,p,0.000568221
s,0.000207348,p,0.000622045
s,0.000200966,p,0.000602898
s,0.000221244,p,0.000663731
s,0.000230791,p,0.000692374
s,0.00022297,p,0.00066891
s,0.00021632,p,0.000648961
s,0.000176535,p,0.000529604
s,0.000229921,p,0.000689762
s,0.000232044,p,0.000696131
s,0.00020556,p,0.000616679
s,0.000228784,p,0.000686352
s,0.000229606,p,0.000688818
s,0.000221774,p,0.000665321
s,0.000227409,p,0.000682228
s,0.000213112,p,0.000639335
s,0.000186802,p,0.000560407
s,0.000243431,p,0.000730294
s,0.000216473,p,0.000649418
s,0.000205811,p,0.000617434
s,0.000209134,p,0.000627401
s,0.000199418,p,0.000598253
s,0.000219077,p,0.00065723
s,0.00023588,p,0.000707639
s,0.000246104,p,0.000738313
s,0.000205684,p,0.000617053
s,0.000213177,p,0.00063953
s,0.000229178,p,0.000687534
s,0.000211595,p,0.000634784
s,0.000237675,p,0.000713025
s,0.000241154,p,0.000723461
s,0.00020394,p,0.000611819
s,0.000191495,p,0.000574484
s,0.000227617,p,0.000682852
s,0.0001875,p,0.000562499
s,0.000232076,p,0.000696228
s,0.000224717,p,0.00067415
s,0.000248056,p,0.000744169
s,0.000165792,p,0.000497376
s,0.000235547,p,0.000706642
s,0.000235995,p,0.000707984
s,0.000196135,p,0.000588405
s,0.000218907,p,0.00065672
s,0.00019522,p,0.000585661
s,0.000207952,p,0.000623856
s,0.000203188,p,0.000609564
s,0.000189099,p,0.000567298
s,0.000201949,p,0.000605848
s,0.000197738,p,0.000593214
s,0.000231768,p,0.000695305
s,0.000177689,p,0.000533068
s,0.000223189,p,0.000669568
s,0.000246642,p,0.000739925
s,0.000199505,p,0.000598515
s,0.000217038,p,0.000651113
s,0.000219008,p,0.000657025
s,0.000220445,p,0.000661336
s,0.000232948,p,0.000698843
s,0.000262837,p,0.00078851
s,0.000246021,p,0.000738064
s,0.000240434,p,0.000721301
s,0.000187515,p,0.000562546
s,0.00022295,p,0.000668851
s,0.000193046,p,0.000579138
s,0.000221077,p,0.00066323
s,0.000237204,p,0.000711612
s,0.000230806,p,0.000692417
s,0.000238123,p,0.00071437
s,0.000206937,p,0.00062081
s,0.000214585,p,0.000643756
s,0.000233207,p,0.00069962
s,0.000212052,p,0.000636156
s,0.000174135,p,0.000522405
s,0.000174691,p,0.000524073
s,0.000206179,p,0.000618536
s,0.000226674,p,0.000680021
s,0.000252338,p,0.000757013
s,0.000219017,p,0.00065705
s,0.0002273,p,0.000681901
s,0.000245611,p,0.000736833
s,0.000202302,p,0.000606906
s,0.000206109,p,0.000618327
s,0.00023168,p,0.00069504
s,0.00030114,p,0.000903421
s,0.000206843,p,0.000620528
s,0.000224808,p,0.000674425
s,0.000263774,p,0.000791322
s,0.000230437,p,0.000691311
s,0.000207147,p,0.00062144
s,0.000213512,p,0.000640536
s,0.000212837,p,0.000638512
s,0.000209334,p,0.000628001
s,0.000202923,p,0.000608768
s,0.000233328,p,0.000699983
s,0.000240776,p,0.000722327
s,0.000223213,p,0.000669638
s,0.000158468,p,0.000475405
s,0.000197535,p,0.000592606
s,0.000214296,p,0.000642888
s,0.000206518,p,0.000619555
s,0.000202643,p,0.00060793
s,0.000179338,p,0.000538015
s,0.000219322,p,0.000657967
s,0.00020457,p,0.000613711
s,0.000227237,p,0.000681711
s,0.00018988,p,0.000569641
s,0.000181279,p,0.000543837
s,0.000204858,p,0.000614574
s,0.000214102,p,0.000642305
s,0.000233943,p,0.000701829
s,0.000205042,p,0.000615126
s,0.000254759,p,0.000764276
s,0.000195307,p,0.00058592
s,0.000216078,p,0.000648233
s,0.000258703,p,0.000776109
s,0.000224841,p,0.000674523
s,0.000210219,p,0.000630658
s,0.000230425,p,0.000691276
s,0.000213498,p,0.000640493
s,0.000204673,p,0.000614018
s,0.000218847,p,0.000656542
s,0.000239794,p,0.000719382
s,0.00021108,p,0.000633241
s,0.000251236,p,0.000753708
s,0.000222762,p,0.000668286
s,0.00024666,p,0.00073998
s,0.000238182,p,0.000714545
s,0.000238983,p,0.000716948
s,0.000230494,p,0.000691483
s,0.000205881,p,0.000617644
s,0.000224931,p,0.000674794
