cond.s.m,echo.s.m,cond.p.m,echo.p.m
1,8.93523E-05,p,0.000268057
1,8.38144E-05,p,0.000251443
1,0.000115049,p,0.000345148
1,0.000132428,p,0.000397284
1,0.000150328,p,0.000450985
1,0.000119212,p,0.000357636
1,0.000130981,p,0.000392942
1,9.75056E-05,p,0.000292517
1,0.00011746,p,0.000352379
1,0.000133708,p,0.000401125
1,0.000112336,p,0.000337009
1,0.00010072,p,0.00030216
1,0.000116429,p,0.000349286
1,0.000124742,p,0.000374226
1,0.000108575,p,0.000325725
1,9.68671E-05,p,0.000290601
1,8.54536E-05,p,0.000256361
1,0.000132064,p,0.000396191
1,0.000121009,p,0.000363028
1,0.000149101,p,0.000447303
1,0.000103693,p,0.00031108
1,0.000115786,p,0.000347358
1,0.000112838,p,0.000338513
1,0.000141608,p,0.000424825
1,0.00017993,p,0.000539789
1,0.00014023,p,0.00042069
1,0.000139768,p,0.000419304
1,9.18926E-05,p,0.000275678
1,0.000101434,p,0.000304302
1,0.000126283,p,0.00037885
1,0.000137672,p,0.000413016
1,0.000119959,p,0.000359876
1,0.000101421,p,0.000304263
1,0.000134817,p,0.000404452
1,8.66271E-05,p,0.000259881
1,0.000133194,p,0.000399581
1,0.000105665,p,0.000316996
1,0.00011663,p,0.000349889
1,0.000111849,p,0.000335548
1,0.000138921,p,0.000416764
1,0.000132583,p,0.000397749
1,0.00012429,p,0.00037287
1,0.000119428,p,0.000358285
1,0.000111137,p,0.000333412
1,0.000127685,p,0.000383056
1,0.000135458,p,0.000406373
1,0.00016056,p,0.000481679
1,0.000116367,p,0.0003491
1,0.000134262,p,0.000402787
1,0.000114389,p,0.000343167
1,0.000105046,p,0.000315138
1,0.000106477,p,0.000319431
1,9.30276E-05,p,0.000279083
1,0.000109242,p,0.000327725
1,0.00012008,p,0.000360239
1,0.000128529,p,0.000385587
1,0.000152304,p,0.000456911
1,0.000107905,p,0.000323714
1,0.000124959,p,0.000374877
1,0.000103722,p,0.000311165
1,0.00016209,p,0.000486271
1,0.000106011,p,0.000318032
1,9.15242E-05,p,0.000274573
1,0.00012692,p,0.00038076
1,0.000113366,p,0.000340099
1,0.000138824,p,0.000416473
1,0.000102948,p,0.000308844
1,0.000117864,p,0.000353592
1,0.000135174,p,0.000405523
1,0.000151337,p,0.000454011
1,9.71509E-05,p,0.000291453
1,0.000129174,p,0.000387523
1,0.000141302,p,0.000423905
1,0.000137018,p,0.000411053
1,0.000101216,p,0.000303647
1,0.00011897,p,0.000356909
1,0.000133823,p,0.000401469
1,0.000102763,p,0.000308289
