cond.s.m,echo.1.3,cond.p.m,echo.p.3
s,5.72803E-05,p,0.000171841
s,4.84216E-05,p,0.000145265
s,5.31221E-05,p,0.000159366
s,4.6102E-05,p,0.000138306
s,4.65824E-05,p,0.000139747
s,4.46027E-05,p,0.000133808
s,4.57893E-05,p,0.000137368
s,4.31342E-05,p,0.000129403
s,4.82019E-05,p,0.000144606
s,5.3781E-05,p,0.000161343
s,5.30654E-05,p,0.000159196
s,5.21329E-05,p,0.000156399
s,4.22318E-05,p,0.000126696
s,4.23461E-05,p,0.000127038
s,5.28875E-05,p,0.000158663
s,4.03555E-05,p,0.000121066
s,4.44545E-05,p,0.000133364
s,3.99159E-05,p,0.000119748
s,0.000050647,p,0.000151941
s,4.38153E-05,p,0.000131446
s,6.11896E-05,p,0.000183569
s,4.25566E-05,p,0.00012767
s,4.75486E-05,p,0.000142646
s,4.69624E-05,p,0.000140887
s,4.23094E-05,p,0.000126928
s,5.49559E-05,p,0.000164868
s,5.32412E-05,p,0.000159724
s,5.61132E-05,p,0.00016834
s,5.49709E-05,p,0.000164913
s,4.35423E-05,p,0.000130627
s,3.67903E-05,p,0.000110371
s,3.90648E-05,p,0.000117194
s,4.84956E-05,p,0.000145487
s,5.10856E-05,p,0.000153257
s,5.17443E-05,p,0.000155233
s,5.05171E-05,p,0.000151551
s,4.14349E-05,p,0.000124305
s,3.9607E-05,p,0.000118821
s,5.13025E-05,p,0.000153908
s,4.20918E-05,p,0.000126275
s,5.55511E-05,p,0.000166653
s,5.33742E-05,p,0.000160123
s,4.77806E-05,p,0.000143342
s,4.7816E-05,p,0.000143448
s,4.2819E-05,p,0.000128457
s,6.39859E-05,p,0.000191958
s,6.15227E-05,p,0.000184568
s,4.86071E-05,p,0.000145821
s,5.01248E-05,p,0.000150374
s,4.96507E-05,p,0.000148952
s,4.42605E-05,p,0.000132781
s,4.5656E-05,p,0.000136968
s,5.782E-05,p,0.00017346
s,4.97006E-05,p,0.000149102
s,5.87634E-05,p,0.00017629
s,5.11425E-05,p,0.000153428
s,5.21505E-05,p,0.000156452
s,4.81856E-05,p,0.000144557
s,4.75992E-05,p,0.000142797
s,4.65995E-05,p,0.000139799
s,4.95451E-05,p,0.000148635
