cond.r.t,echo.r.t,cond.r.b,echo.r.b,cond.t.b,echo.t.b,cond.p.b,echo.p.b
r,0.000240863,r,0.000240863,t,0.000248385,p,0.000489248
r,0.000280869,r,0.000280869,t,0.000309172,p,0.000590041
r,0.000282705,r,0.000282705,t,0.000344535,p,0.00062724
r,0.000295141,r,0.000295141,t,0.000277608,p,0.000572749
r,0.000310305,r,0.000310305,t,0.000322776,p,0.000633081
r,0.000304893,r,0.000304893,t,0.000263304,p,0.000568197
r,0.000284673,r,0.000284673,t,0.000274754,p,0.000559427
r,0.000302158,r,0.000302158,t,0.000317848,p,0.000620006
r,0.000300221,r,0.000300221,t,0.00028084,p,0.000581061
r,0.000284909,r,0.000284909,t,0.000317745,p,0.000602654
r,0.000317879,r,0.000317879,t,0.000298068,p,0.000615947
r,0.000289251,r,0.000289251,t,0.000244195,p,0.000533446
r,0.000354513,r,0.000354513,t,0.000317907,p,0.00067242
r,0.000277058,r,0.000277058,t,0.000227459,p,0.000504517
r,0.000295308,r,0.000295308,t,0.000271383,p,0.000566691
r,0.000292644,r,0.000292644,t,0.000293837,p,0.000586481
r,0.00032832,r,0.00032832,t,0.000266014,p,0.000594334
r,0.000323317,r,0.000323317,t,0.000300823,p,0.00062414
r,0.000283766,r,0.000283766,t,0.000267423,p,0.000551189
r,0.00028166,r,0.00028166,t,0.000240284,p,0.000521944
r,0.000319165,r,0.000319165,t,0.000241873,p,0.000561038
r,0.000304663,r,0.000304663,t,0.000350652,p,0.000655315
r,0.000291431,r,0.000291431,t,0.000309181,p,0.000600612
r,0.000263746,r,0.000263746,t,0.000263686,p,0.000527432
r,0.000264497,r,0.000264497,t,0.000301392,p,0.000565889
r,0.000256033,r,0.000256033,t,0.000282971,p,0.000539004
r,0.000312694,r,0.000312694,t,0.000325413,p,0.000638107
r,0.000313235,r,0.000313235,t,0.000243427,p,0.000556662
r,0.000355371,r,0.000355371,t,0.000254681,p,0.000610052
r,0.00027916,r,0.00027916,t,0.000246327,p,0.000525487
r,0.00027495,r,0.00027495,t,0.000314742,p,0.000589692
r,0.000315299,r,0.000315299,t,0.00025402,p,0.000569319
r,0.000276507,r,0.000276507,t,0.000282291,p,0.000558798
r,0.000301441,r,0.000301441,t,0.000282274,p,0.000583715
r,0.000300554,r,0.000300554,t,0.000273651,p,0.000574205
r,0.000302973,r,0.000302973,t,0.000270081,p,0.000573054
r,0.000275604,r,0.000275604,t,0.000294851,p,0.000570455
r,0.000318762,r,0.000318762,t,0.000319465,p,0.000638227
r,0.000274635,r,0.000274635,t,0.000268429,p,0.000543064
r,0.000314329,r,0.000314329,t,0.000318317,p,0.000632646
r,0.000328287,r,0.000328287,t,0.000356847,p,0.000685134
r,0.000271319,r,0.000271319,t,0.000248601,p,0.00051992
r,0.000287649,r,0.000287649,t,0.000301922,p,0.000589571
r,0.000353993,r,0.000353993,t,0.000259169,p,0.000613162
r,0.000294707,r,0.000294707,t,0.000294656,p,0.000589363
r,0.000312531,r,0.000312531,t,0.000269676,p,0.000582207
r,0.000230457,r,0.000230457,t,0.000283723,p,0.00051418
r,0.000269071,r,0.000269071,t,0.000299959,p,0.00056903
r,0.000329017,r,0.000329017,t,0.000249103,p,0.00057812
r,0.000340393,r,0.000340393,t,0.000279503,p,0.000619896
r,0.000259916,r,0.000259916,t,0.000261228,p,0.000521144
r,0.000313633,r,0.000313633,t,0.000290463,p,0.000604096
r,0.000305624,r,0.000305624,t,0.000286879,p,0.000592503
r,0.000283086,r,0.000283086,t,0.000341419,p,0.000624505
r,0.000258947,r,0.000258947,t,0.000267307,p,0.000526254
r,0.000287517,r,0.000287517,t,0.000309246,p,0.000596763
r,0.000332739,r,0.000332739,t,0.00029573,p,0.000628469
r,0.000274936,r,0.000274936,t,0.000280759,p,0.000555695
r,0.000270003,r,0.000270003,t,0.000246275,p,0.000516278
r,0.000372957,r,0.000372957,t,0.000314883,p,0.00068784
r,0.000273703,r,0.000273703,t,0.000271837,p,0.00054554
r,0.000266978,r,0.000266978,t,0.000277735,p,0.000544713
r,0.000292326,r,0.000292326,t,0.000274548,p,0.000566874
r,0.000305029,r,0.000305029,t,0.000279272,p,0.000584301
r,0.000259161,r,0.000259161,t,0.000259304,p,0.000518465
r,0.000323048,r,0.000323048,t,0.000296766,p,0.000619814
r,0.000304303,r,0.000304303,t,0.000286433,p,0.000590736
r,0.000317579,r,0.000317579,t,0.000291026,p,0.000608605
r,0.0002856,r,0.0002856,t,0.00032397,p,0.00060957
r,0.00029991,r,0.00029991,t,0.000234339,p,0.000534249
r,0.000313748,r,0.000313748,t,0.000342705,p,0.000656453
r,0.000320578,r,0.000320578,t,0.000304722,p,0.0006253
r,0.000285033,r,0.000285033,t,0.000333726,p,0.000618759
r,0.000245716,r,0.000245716,t,0.000303831,p,0.000549547
r,0.000271537,r,0.000271537,t,0.00027945,p,0.000550987
r,0.000338013,r,0.000338013,t,0.000260371,p,0.000598384
r,0.0002497,r,0.0002497,t,0.000319333,p,0.000569033
r,0.000318066,r,0.000318066,t,0.000305243,p,0.000623309
r,0.000346905,r,0.000346905,t,0.000252505,p,0.00059941
r,0.000294834,r,0.000294834,t,0.000316421,p,0.000611255
r,0.000253326,r,0.000253326,t,0.000285805,p,0.000539131
r,0.000270162,r,0.000270162,t,0.000301886,p,0.000572048
r,0.000294259,r,0.000294259,t,0.000291696,p,0.000585955
r,0.000276922,r,0.000276922,t,0.000259868,p,0.00053679
r,0.00033289,r,0.00033289,t,0.000304187,p,0.000637077
r,0.000334699,r,0.000334699,t,0.000301864,p,0.000636563
r,0.000313048,r,0.000313048,t,0.000295291,p,0.000608339
