unstudied,tone,rhythm,both
-1.24E-07,0.000781199,7.11E-05,0.000760344
-8.58E-07,0.000892996,6.25E-05,0.000894885
-1.79E-06,0.000789288,5.53E-05,0.000748763
3.36E-08,0.000706724,4.44E-05,0.000825602
1.66E-06,0.000886857,4.92E-05,0.000836677
4.40E-07,0.000823724,6.91E-05,0.000897681
-4.77E-07,0.000905162,7.04E-05,0.000897664
-6.51E-07,0.000804547,6.93E-05,0.000817229
1.20E-06,0.000739015,6.26E-05,0.000921425
-4.08E-07,0.000816807,6.17E-05,0.000876718
8.73E-08,0.000772012,6.48E-05,0.000849234
-1.82E-06,0.000858594,6.36E-05,0.000829767
7.72E-07,0.000871781,6.38E-05,0.000814983
4.99E-07,0.000815516,6.28E-05,0.000839659
-3.36E-07,0.000925652,6.90E-05,0.000840093
-3.00E-08,0.000672453,7.41E-05,0.000724442
1.15E-07,0.000763067,4.56E-05,0.000801935
-1.00E-06,0.000949637,7.28E-05,0.00079877
1.05E-06,0.000843376,5.90E-05,0.000749746
-1.18E-06,0.000866776,5.80E-05,0.000962147
9.84E-07,0.000728229,6.36E-05,0.000928188
2.21E-06,0.000736794,5.09E-05,0.0008019
-5.53E-07,0.000752808,8.23E-05,0.000828709
8.08E-07,0.000916782,6.28E-05,0.000835624
6.01E-07,0.000862456,7.01E-05,0.000858507
1.51E-06,0.000859635,4.93E-05,0.000768497
9.64E-07,0.000833811,6.36E-05,0.000924028
1.10E-06,0.000771242,5.59E-05,0.000883725
8.71E-07,0.000800397,6.32E-05,0.000863213
6.44E-07,0.000784522,6.38E-05,0.000816616
-1.45E-07,0.000682926,5.28E-05,0.000793134
1.79E-06,0.000883501,5.57E-05,0.000791002
-1.81E-07,0.000855974,6.21E-05,0.000895747
1.34E-06,0.000790528,6.04E-05,0.000861107
-4.46E-07,0.000899318,5.66E-05,0.00086503
1.08E-06,0.000850877,5.12E-05,0.000965056
-9.02E-07,0.000869827,5.30E-05,0.000966064
3.04E-06,0.000846285,5.98E-05,0.000893543
-1.74E-06,0.000852305,6.02E-05,0.000889092
-2.88E-07,0.000768986,6.62E-05,0.000895444
-1.07E-06,0.000798508,6.91E-05,0.000833935
4.27E-06,0.000744188,7.78E-05,0.000878577
-7.97E-07,0.000769351,7.59E-05,0.000800341
1.73E-06,0.000790913,6.51E-05,0.000844099
1.51E-06,0.000909985,4.77E-05,0.000809435
-1.01E-06,0.000931327,8.07E-05,0.000981931
-1.17E-06,0.000728934,6.47E-05,0.00075745
2.96E-07,0.000816015,5.78E-05,0.000994155
-1.53E-07,0.00067065,5.84E-05,0.000996092
5.15E-07,0.000730118,6.08E-05,0.000853686
-2.31E-07,0.000713796,6.97E-05,0.000790097
-7.43E-07,0.000914813,5.65E-05,0.000734571
1.38E-07,0.000843334,7.65E-05,0.000751983
9.75E-07,0.000684663,6.16E-05,0.000851685
1.35E-06,0.000751946,7.02E-05,0.000851657
8.24E-07,0.000849466,5.42E-05,0.000895457
4.34E-07,0.000782112,5.15E-05,0.000854955
-3.61E-06,0.000921072,4.37E-05,0.000849689
-7.21E-07,0.000744197,6.74E-05,0.000848481
-2.33E-06,0.000739207,5.87E-05,0.000848554
-1.08E-06,0.000744218,6.34E-05,0.000922539
1.19E-06,0.000764538,6.33E-05,0.000855857
-1.02E-06,0.00088473,5.52E-05,0.000856043
7.31E-07,0.00070939,8.23E-05,0.000856431
-3.62E-06,0.000826358,6.37E-05,0.000904018
-5.92E-07,0.0007929,6.70E-05,0.000921869
-6.45E-07,0.000772179,6.87E-05,0.00080146
2.38E-07,0.000921614,5.21E-05,0.000788217
1.29E-06,0.000676585,7.17E-05,0.000817348
-5.93E-07,0.000729082,6.07E-05,0.000936236
-1.41E-06,0.000686469,5.84E-05,0.00100237
-7.41E-07,0.000859308,7.60E-05,0.000816661
9.65E-07,0.000802969,6.20E-05,0.000811228
4.40E-07,0.000950481,6.61E-05,0.000810948
1.62E-06,0.000848026,5.13E-05,0.000876341
2.78E-06,0.000734994,6.25E-05,0.000986827
-7.79E-08,0.000877384,6.10E-05,0.000945601
4.02E-07,0.000881946,6.32E-05,0.000961621
-7.77E-07,0.000775764,5.98E-05,0.000910908
2.33E-07,0.000615468,6.40E-05,0.000813194
3.79E-07,0.000728486,5.63E-05,0.001066754
1.59E-07,0.000866257,6.43E-05,0.001007756
8.51E-07,0.000773652,5.95E-05,0.000919239
-6.62E-07,0.000879744,6.91E-05,0.000823
-2.02E-06,0.000786572,6.72E-05,0.000979498
6.24E-09,0.000760323,6.77E-05,0.000917773
-5.93E-07,0.000817733,7.95E-05,0.000840886
4.56E-07,0.000710253,7.01E-05,0.00096065
-2.73E-06,0.000855827,5.95E-05,0.000959845
1.19E-07,0.000697443,7.07E-05,0.000925054
-1.66E-06,0.000784511,5.13E-05,0.000820553
1.43E-06,0.000748742,6.09E-05,0.000903498
-1.90E-06,0.000846621,6.35E-05,0.000919708
-7.65E-07,0.000705394,5.53E-05,0.000870819
-1.70E-06,0.00073982,7.43E-05,0.000788542
2.44E-06,0.000770086,5.98E-05,0.000852517
-1.27E-07,0.000757091,5.15E-05,0.000920854
2.03E-06,0.00082865,7.13E-05,0.001000662
-5.41E-07,0.000859329,6.87E-05,0.000878852
2.96E-07,0.000781322,7.19E-05,0.000877214
3.94E-06,0.00068554,7.52E-05,0.000873199
-9.45E-07,0.000826823,6.98E-05,0.000798379
1.46E-06,0.000831489,6.65E-05,0.000834569
1.36E-07,0.000818413,6.16E-05,0.000946286
1.69E-06,0.000837888,5.75E-05,0.000956765
1.24E-07,0.000837464,5.75E-05,0.000886981
1.31E-06,0.000715248,6.65E-05,0.000829114
3.73E-07,0.000775375,6.34E-05,0.000809111
7.13E-07,0.000883255,6.53E-05,0.000815295
7.25E-07,0.000771487,6.58E-05,0.000765432
-4.81E-07,0.000714877,7.59E-05,0.000768064
8.16E-07,0.000860227,6.74E-05,0.000862949
-2.64E-06,0.000844288,6.46E-05,0.000824053
-1.86E-07,0.000656295,7.23E-05,0.000892244
-5.85E-07,0.000805135,6.23E-05,0.00087176
