cond.r.t,echo.r.t,cond.r.b,echo.r.b,cond.t.b,echo.t.b,cond.p.b,echo.p.b
r,6.48202E-05,r,6.48202E-05,t,0.000933119,p,0.000997939
r,5.9981E-05,r,5.9981E-05,t,0.000860691,p,0.000920672
r,6.39176E-05,r,6.39176E-05,t,0.000784939,p,0.000848856
r,7.33535E-05,r,7.33535E-05,t,0.000785031,p,0.000858384
r,6.3354E-05,r,6.3354E-05,t,0.00078497,p,0.000848324
r,6.32916E-05,r,6.32916E-05,t,0.000778781,p,0.000842073
r,5.88727E-05,r,5.88727E-05,t,0.000833981,p,0.000892853
r,6.3858E-05,r,6.3858E-05,t,0.000746245,p,0.000810103
r,5.47173E-05,r,5.47173E-05,t,0.00099102,p,0.001045737
r,5.23878E-05,r,5.23878E-05,t,0.00078151,p,0.000833897
r,6.15231E-05,r,6.15231E-05,t,0.000791225,p,0.000852748
r,5.13647E-05,r,5.13647E-05,t,0.000801192,p,0.000852556
r,7.25829E-05,r,7.25829E-05,t,0.000823278,p,0.000895861
r,5.8916E-05,r,5.8916E-05,t,0.00078448,p,0.000843396
r,5.52482E-05,r,5.52482E-05,t,0.000745644,p,0.000800892
r,7.11722E-05,r,7.11722E-05,t,0.00078281,p,0.000853982
r,6.39094E-05,r,6.39094E-05,t,0.00078911,p,0.000853019
r,7.16773E-05,r,7.16773E-05,t,0.000726356,p,0.000798034
r,5.70378E-05,r,5.70378E-05,t,0.000892231,p,0.000949269
r,5.14321E-05,r,5.14321E-05,t,0.000887371,p,0.000938803
r,6.52868E-05,r,6.52868E-05,t,0.000842186,p,0.000907472
r,5.84687E-05,r,5.84687E-05,t,0.000796452,p,0.000854921
r,7.33558E-05,r,7.33558E-05,t,0.0007294,p,0.000802756
r,8.15601E-05,r,8.15601E-05,t,0.000781078,p,0.000862638
r,5.70513E-05,r,5.70513E-05,t,0.00077304,p,0.000830091
r,6.14887E-05,r,6.14887E-05,t,0.000740207,p,0.000801695
r,6.53306E-05,r,6.53306E-05,t,0.000821031,p,0.000886362
r,5.68476E-05,r,5.68476E-05,t,0.00091594,p,0.000972787
r,5.94551E-05,r,5.94551E-05,t,0.000754819,p,0.000814274
r,4.62456E-05,r,4.62456E-05,t,0.0007763,p,0.000822546
r,7.89919E-05,r,7.89919E-05,t,0.000677771,p,0.000756763
r,5.62149E-05,r,5.62149E-05,t,0.000714154,p,0.000770369
r,6.16293E-05,r,6.16293E-05,t,0.000845223,p,0.000906852
r,5.8637E-05,r,5.8637E-05,t,0.000888689,p,0.000947326
r,7.20138E-05,r,7.20138E-05,t,0.000880863,p,0.000952876
r,6.6604E-05,r,6.6604E-05,t,0.000762839,p,0.000829443
r,7.50176E-05,r,7.50176E-05,t,0.000827534,p,0.000902551
r,6.64605E-05,r,6.64605E-05,t,0.000772045,p,0.000838506
r,6.13484E-05,r,6.13484E-05,t,0.000814541,p,0.000875889
r,5.23355E-05,r,5.23355E-05,t,0.00084881,p,0.000901146
r,6.66453E-05,r,6.66453E-05,t,0.000861954,p,0.000928599
r,5.27626E-05,r,5.27626E-05,t,0.000734564,p,0.000787326
r,5.90282E-05,r,5.90282E-05,t,0.000838582,p,0.00089761
