cond.r.t,echo.r.t,cond.r.b,echo.r.b,cond.t.b,echo.t.b,cond.p.b,echo.p.b
r,0.000132013,r,0.000132013,t,0.000583761,p,0.000715774
r,0.000144514,r,0.000144514,t,0.00046432,p,0.000608834
r,0.000165847,r,0.000165847,t,0.000580612,p,0.000746459
r,0.000162502,r,0.000162502,t,0.000456577,p,0.000619079
r,0.000148982,r,0.000148982,t,0.000498808,p,0.00064779
r,0.000179085,r,0.000179085,t,0.000512927,p,0.000692012
r,0.000150668,r,0.000150668,t,0.000454949,p,0.000605617
r,0.000151021,r,0.000151021,t,0.000503264,p,0.000654285
r,0.000159546,r,0.000159546,t,0.00052157,p,0.000681116
r,0.000140621,r,0.000140621,t,0.000572965,p,0.000713586
r,0.000154914,r,0.000154914,t,0.000555095,p,0.000710009
r,0.000146013,r,0.000146013,t,0.000517502,p,0.000663515
r,0.000135512,r,0.000135512,t,0.000471256,p,0.000606768
r,0.000177619,r,0.000177619,t,0.00055554,p,0.000733159
r,0.000131856,r,0.000131856,t,0.000494653,p,0.000626509
r,0.000128753,r,0.000128753,t,0.000541763,p,0.000670516
r,0.000165227,r,0.000165227,t,0.000442524,p,0.000607751
r,0.000139092,r,0.000139092,t,0.000494328,p,0.00063342
r,0.000118847,r,0.000118847,t,0.000471283,p,0.00059013
r,0.000142606,r,0.000142606,t,0.000431963,p,0.000574569
r,0.000143132,r,0.000143132,t,0.00055692,p,0.000700052
r,0.000148029,r,0.000148029,t,0.000513002,p,0.000661031
r,0.00015078,r,0.00015078,t,0.000511022,p,0.000661802
r,0.000146596,r,0.000146596,t,0.000527587,p,0.000674183
r,0.000165743,r,0.000165743,t,0.000513798,p,0.000679541
r,0.000156632,r,0.000156632,t,0.000543863,p,0.000700495
r,0.000109385,r,0.000109385,t,0.000464375,p,0.00057376
r,0.000170347,r,0.000170347,t,0.000488166,p,0.000658513
r,0.000171864,r,0.000171864,t,0.000527373,p,0.000699237
r,0.000177377,r,0.000177377,t,0.000496289,p,0.000673666
r,0.000176983,r,0.000176983,t,0.000550111,p,0.000727094
r,0.000136251,r,0.000136251,t,0.000507163,p,0.000643414
r,0.000165716,r,0.000165716,t,0.000530103,p,0.000695819
r,0.000152229,r,0.000152229,t,0.000404042,p,0.000556271
r,0.00013772,r,0.00013772,t,0.00051448,p,0.0006522
r,0.000160236,r,0.000160236,t,0.000471417,p,0.000631653
r,0.000158634,r,0.000158634,t,0.000528912,p,0.000687546
r,0.000128937,r,0.000128937,t,0.000577802,p,0.000706739
r,0.000161807,r,0.000161807,t,0.000573533,p,0.00073534
r,0.000142086,r,0.000142086,t,0.000514517,p,0.000656603
r,0.000140996,r,0.000140996,t,0.000553609,p,0.000694605
r,0.000131313,r,0.000131313,t,0.000497266,p,0.000628579
