unstudied,tone,rhythm,both,,,cond.r.t,echo.r.t,condr.b,echo.r.b,cond.t.b,echo.t.b,,r,t,predicted,both,,cond.p.b,echo.p.b,cond.r.t,echo.r.t,condr.b,echo.r.b,cond.t.b,echo.t.b
-1.58E-07,0.000464375,0.000109385,0.000636182,,,r,0.000109385,r,0.000109385,t,0.000464375,,1.10E-04,4.65E-04,5.74E-04,6.36E-04,,p,5.74E-04,r,0.000109385,r,0.000109385,t,0.000464375
-6.82E-07,0.000488166,0.000170347,0.000679091,,,r,0.000170347,r,0.000170347,t,0.000488166,,1.71E-04,4.89E-04,6.60E-04,6.80E-04,,p,6.60E-04,r,0.000170347,r,0.000170347,t,0.000488166
-1.30E-06,0.000527373,0.000171864,0.000678524,,,r,0.000171864,r,0.000171864,t,0.000527373,,1.73E-04,5.29E-04,7.02E-04,6.80E-04,,p,7.02E-04,r,0.000171864,r,0.000171864,t,0.000527373
1.28E-07,0.000496289,0.000177377,0.000567486,,,r,0.000177377,r,0.000177377,t,0.000496289,,1.77E-04,4.96E-04,6.73E-04,5.67E-04,,p,6.73E-04,r,0.000177377,r,0.000177377,t,0.000496289
1.29E-06,0.000550111,0.000176983,0.000577523,,,r,0.000176983,r,0.000176983,t,0.000550111,,1.76E-04,5.49E-04,7.25E-04,5.76E-04,,p,7.25E-04,r,0.000176983,r,0.000176983,t,0.000550111
-1.61E-06,0.000507163,0.000136251,0.000731309,,,r,0.000136251,r,0.000136251,t,0.000507163,,1.38E-04,5.09E-04,6.47E-04,7.33E-04,,p,6.47E-04,r,0.000136251,r,0.000136251,t,0.000507163
-6.44E-08,0.000530103,0.000165716,0.000673944,,,r,0.000165716,r,0.000165716,t,0.000530103,,1.66E-04,5.30E-04,6.96E-04,6.74E-04,,p,6.96E-04,r,0.000165716,r,0.000165716,t,0.000530103
-1.91E-08,0.000404042,0.000152229,0.000594249,,,r,0.000152229,r,0.000152229,t,0.000404042,,1.52E-04,4.04E-04,5.56E-04,5.94E-04,,p,5.56E-04,r,0.000152229,r,0.000152229,t,0.000404042
-1.07E-06,0.00051448,0.00013772,0.000626967,,,r,0.00013772,r,0.00013772,t,0.00051448,,1.39E-04,5.16E-04,6.54E-04,6.28E-04,,p,6.54E-04,r,0.00013772,r,0.00013772,t,0.00051448
1.21E-06,0.000471417,0.000160236,0.000546255,,,r,0.000160236,r,0.000160236,t,0.000471417,,1.59E-04,4.70E-04,6.29E-04,5.45E-04,,p,6.29E-04,r,0.000160236,r,0.000160236,t,0.000471417
7.66E-07,0.000528912,0.000158634,0.000625975,,,r,0.000158634,r,0.000158634,t,0.000528912,,1.58E-04,5.28E-04,6.86E-04,6.25E-04,,p,6.86E-04,r,0.000158634,r,0.000158634,t,0.000528912
9.22E-07,0.000577802,0.000128937,0.000641019,,,r,0.000128937,r,0.000128937,t,0.000577802,,1.28E-04,5.77E-04,7.05E-04,6.40E-04,,p,7.05E-04,r,0.000128937,r,0.000128937,t,0.000577802
2.25E-07,0.000573533,0.000161807,0.000623462,,,r,0.000161807,r,0.000161807,t,0.000573533,,1.62E-04,5.73E-04,7.35E-04,6.23E-04,,p,7.35E-04,r,0.000161807,r,0.000161807,t,0.000573533
-8.39E-07,0.000514517,0.000142086,0.000674936,,,r,0.000142086,r,0.000142086,t,0.000514517,,1.43E-04,5.15E-04,6.58E-04,6.76E-04,,p,6.58E-04,r,0.000142086,r,0.000142086,t,0.000514517
2.06E-07,0.000553609,0.000140996,0.000638825,,,r,0.000140996,r,0.000140996,t,0.000553609,,1.41E-04,5.53E-04,6.94E-04,6.39E-04,,p,6.94E-04,r,0.000140996,r,0.000140996,t,0.000553609
1.12E-06,0.000497266,0.000131313,0.000675202,,,r,0.000131313,r,0.000131313,t,0.000497266,,1.30E-04,4.96E-04,6.26E-04,6.74E-04,,p,6.26E-04,r,0.000131313,r,0.000131313,t,0.000497266
1.91E-07,0.000560616,0.000187135,0.000662704,,,r,0.000187135,r,0.000187135,t,0.000560616,,1.87E-04,5.60E-04,7.47E-04,6.63E-04,,p,7.47E-04,r,0.000187135,r,0.000187135,t,0.000560616
4.04E-07,0.000471806,0.000172301,0.00061885,,,r,0.000172301,r,0.000172301,t,0.000471806,,1.72E-04,4.71E-04,6.43E-04,6.18E-04,,p,6.43E-04,r,0.000172301,r,0.000172301,t,0.000471806
2.97E-07,0.000466323,0.000127011,0.00063819,,,r,0.000127011,r,0.000127011,t,0.000466323,,1.27E-04,4.66E-04,5.93E-04,6.38E-04,,p,5.93E-04,r,0.000127011,r,0.000127011,t,0.000466323
-6.85E-07,0.000537921,0.000146494,0.000626979,,,r,0.000146494,r,0.000146494,t,0.000537921,,1.47E-04,5.39E-04,6.86E-04,6.28E-04,,p,6.86E-04,r,0.000146494,r,0.000146494,t,0.000537921
-1.18E-06,0.000533322,0.000127758,0.000588995,,,r,0.000127758,r,0.000127758,t,0.000533322,,1.29E-04,5.35E-04,6.63E-04,5.90E-04,,p,6.63E-04,r,0.000127758,r,0.000127758,t,0.000533322
-4.48E-08,0.000522332,0.000160325,0.000706662,,,r,0.000160325,r,0.000160325,t,0.000522332,,1.60E-04,5.22E-04,6.83E-04,7.07E-04,,p,6.83E-04,r,0.000160325,r,0.000160325,t,0.000522332
-4.22E-07,0.000456006,0.000131292,0.000549465,,,r,0.000131292,r,0.000131292,t,0.000456006,,1.32E-04,4.56E-04,5.88E-04,5.50E-04,,p,5.88E-04,r,0.000131292,r,0.000131292,t,0.000456006
-3.47E-07,0.000504317,0.000153199,0.000619116,,,r,0.000153199,r,0.000153199,t,0.000504317,,1.54E-04,5.05E-04,6.58E-04,6.19E-04,,p,6.58E-04,r,0.000153199,r,0.000153199,t,0.000504317
1.11E-06,0.000450317,0.000142285,0.000609408,,,r,0.000142285,r,0.000142285,t,0.000450317,,1.41E-04,4.49E-04,5.90E-04,6.08E-04,,p,5.90E-04,r,0.000142285,r,0.000142285,t,0.000450317
-1.51E-06,0.000442096,0.000153675,0.000629432,,,r,0.000153675,r,0.000153675,t,0.000442096,,1.55E-04,4.44E-04,5.99E-04,6.31E-04,,p,5.99E-04,r,0.000153675,r,0.000153675,t,0.000442096
6.84E-07,0.000433187,0.000139423,0.000641561,,,r,0.000139423,r,0.000139423,t,0.000433187,,1.39E-04,4.33E-04,5.71E-04,6.41E-04,,p,5.71E-04,r,0.000139423,r,0.000139423,t,0.000433187
5.04E-07,0.000525832,0.000146581,0.000658945,,,r,0.000146581,r,0.000146581,t,0.000525832,,1.46E-04,5.25E-04,6.71E-04,6.58E-04,,p,6.71E-04,r,0.000146581,r,0.000146581,t,0.000525832
-9.95E-07,0.000540411,0.000152018,0.000701867,,,r,0.000152018,r,0.000152018,t,0.000540411,,1.53E-04,5.41E-04,6.94E-04,7.03E-04,,p,6.94E-04,r,0.000152018,r,0.000152018,t,0.000540411
1.42E-06,0.000492158,0.000172098,0.000619763,,,r,0.000172098,r,0.000172098,t,0.000492158,,1.71E-04,4.91E-04,6.61E-04,6.18E-04,,p,6.61E-04,r,0.000172098,r,0.000172098,t,0.000492158
-1.55E-06,0.000597851,0.000154338,0.000645223,,,r,0.000154338,r,0.000154338,t,0.000597851,,1.56E-04,5.99E-04,7.55E-04,6.47E-04,,p,7.55E-04,r,0.000154338,r,0.000154338,t,0.000597851
3.34E-07,0.00050813,0.000127083,0.000665172,,,r,0.000127083,r,0.000127083,t,0.00050813,,1.27E-04,5.08E-04,6.35E-04,6.65E-04,,p,6.35E-04,r,0.000127083,r,0.000127083,t,0.00050813
9.61E-07,0.000513029,0.000146577,0.000709636,,,r,0.000146577,r,0.000146577,t,0.000513029,,1.46E-04,5.12E-04,6.58E-04,7.09E-04,,p,6.58E-04,r,0.000146577,r,0.000146577,t,0.000513029
-6.66E-07,0.000496634,0.000152133,0.000638903,,,r,0.000152133,r,0.000152133,t,0.000496634,,1.53E-04,4.97E-04,6.50E-04,6.40E-04,,p,6.50E-04,r,0.000152133,r,0.000152133,t,0.000496634
1.58E-06,0.000412595,0.000155729,0.000664601,,,r,0.000155729,r,0.000155729,t,0.000412595,,1.54E-04,4.11E-04,5.65E-04,6.63E-04,,p,5.65E-04,r,0.000155729,r,0.000155729,t,0.000412595
