echo,condition
3.42E-05,N=1
4.80E-05,N=1
4.62E-05,N=1
4.07E-05,N=1
5.37E-05,N=1
4.87E-05,N=1
5.79E-05,N=1
3.96E-05,N=1
4.38E-05,N=1
4.83E-05,N=1
4.86E-05,N=1
4.86E-05,N=1
4.40E-05,N=1
3.29E-05,N=1
4.05E-05,N=1
5.06E-05,N=1
4.36E-05,N=1
3.82E-05,N=1
4.78E-05,N=1
5.37E-05,N=1
5.01E-05,N=1
3.40E-05,N=1
4.45E-05,N=1
4.77E-05,N=1
5.18E-05,N=1
5.09E-05,N=1
4.51E-05,N=1
3.81E-05,N=1
5.65E-05,N=1
5.28E-05,N=1
5.73E-05,N=1
4.32E-05,N=1
5.22E-05,N=1
5.14E-05,N=1
4.51E-05,N=1
3.47E-05,N=1
4.20E-05,N=1
3.71E-05,N=1
4.29E-05,N=1
5.22E-05,N=1
5.03E-05,N=1
3.58E-05,N=1
5.12E-05,N=1
4.25E-05,N=1
4.42E-05,N=1
5.19E-05,N=1
4.67E-05,N=1
5.04E-05,N=1
3.96E-05,N=1
3.96E-05,N=1
4.81E-05,N=1
3.54E-05,N=1
4.46E-05,N=1
5.34E-05,N=1
4.75E-05,N=1
4.58E-05,N=1
4.31E-05,N=1
4.33E-05,N=1
5.28E-05,N=1
4.89E-05,N=1
4.25E-05,N=1
4.80E-05,N=1
3.82E-05,N=1
5.20E-05,N=1
5.38E-05,N=1
4.73E-05,N=1
3.99E-05,N=1
4.91E-05,N=1
4.78E-05,N=1
3.99E-05,N=1
4.34E-05,N=1
4.15E-05,N=1
5.62E-05,N=1
3.94E-05,N=1
3.59E-05,N=1
4.33E-05,N=1
3.85E-05,N=1
5.99E-05,N=1
4.16E-05,N=1
5.18E-05,N=1
4.94E-05,N=1
5.63E-05,N=1
5.68E-05,N=1
4.26E-05,N=1
4.31E-05,N=1
4.53E-05,N=1
4.45E-05,N=1
4.60E-05,N=1
4.42E-05,N=1
4.76E-05,N=1
4.11E-05,N=1
4.23E-05,N=1
3.89E-05,N=1
4.10E-05,N=1
4.48E-05,N=1
4.69E-05,N=1
4.45E-05,N=1
4.46E-05,N=1
3.71E-05,N=1
5.31E-05,N=1
5.30E-05,N=1
4.81E-05,N=1
4.68E-05,N=1
4.28E-05,N=1
5.16E-05,N=1
5.32E-05,N=1
3.95E-05,N=1
3.89E-05,N=1
3.94E-05,N=1
4.55E-05,N=1
4.74E-05,N=1
5.50E-05,N=1
5.63E-05,N=1
4.87E-05,N=1
4.91E-05,N=1
3.59E-05,N=1
4.63E-05,N=1
5.30E-05,N=1
4.31E-05,N=1
4.62E-05,N=1
3.81E-05,N=1
5.79E-05,N=1
5.36E-05,N=1
4.88E-05,N=1
4.84E-05,N=1
5.10E-05,N=1
5.82E-05,N=1
4.88E-05,N=1
4.81E-05,N=1
4.47E-05,N=1
5.84E-05,N=1
4.56E-05,N=1
4.50E-05,N=1
5.22E-05,N=1
4.27E-05,N=1
4.76E-05,N=1
5.54E-05,N=1
4.41E-05,N=1
3.49E-05,N=1
4.67E-05,N=1
5.47E-05,N=1
4.50E-05,N=1
5.82E-05,N=1
4.50E-05,N=1
4.49E-05,N=1
4.64E-05,N=1
3.05E-05,N=1
4.37E-05,N=1
5.08E-05,N=1
3.89E-05,N=1
4.24E-05,N=1
4.51E-05,N=1
5.30E-05,N=1
3.10E-05,N=1
5.62E-05,N=1
4.49E-05,N=1
5.67E-05,N=1
5.28E-05,N=1
4.26E-05,N=1
5.03E-05,N=1
4.74E-05,N=1
5.29E-05,N=1
4.34E-05,N=1
3.80E-05,N=1
5.67E-05,N=1
5.20E-05,N=1
5.90E-05,N=1
4.53E-05,N=1
4.59E-05,N=1
4.85E-05,N=1
4.16E-05,N=1
5.64E-05,N=1
4.83E-05,N=1
4.74E-05,N=1
4.60E-05,N=1
4.07E-05,N=1
5.73E-05,N=1
4.84E-05,N=1
5.31E-05,N=1
4.61E-05,N=1
4.66E-05,N=1
4.46E-05,N=1
4.58E-05,N=1
4.31E-05,N=1
4.82E-05,N=1
5.38E-05,N=1
5.31E-05,N=1
5.21E-05,N=1
4.22E-05,N=1
4.23E-05,N=1
5.29E-05,N=1
4.04E-05,N=1
4.45E-05,N=1
3.99E-05,N=1
5.06E-05,N=1
