echo,condition
0.000189041,N=1
0.000204746,N=1
0.00026825,N=1
0.000203203,N=1
0.000252764,N=1
0.000243623,N=1
0.000216392,N=1
0.000189594,N=1
0.000195944,N=1
0.000242457,N=1
0.00018117,N=1
0.000206147,N=1
0.00026075,N=1
0.000220487,N=1
0.000224896,N=1
0.000172816,N=1
0.000186704,N=1
0.00024809,N=1
0.000212939,N=1
0.000249763,N=1
0.00015515,N=1
0.000231031,N=1
0.000209474,N=1
0.000174824,N=1
0.000202491,N=1
0.000246293,N=1
0.000183456,N=1
0.000228779,N=1
0.000205332,N=1
0.000214198,N=1
0.000202738,N=1
0.000245948,N=1
0.000206504,N=1
0.000251096,N=1
0.000201042,N=1
0.000250089,N=1
0.000227191,N=1
0.000217068,N=1
0.000259524,N=1
0.000220983,N=1
0.000208218,N=1
0.000195666,N=1
0.000203756,N=1
0.000240702,N=1
0.000199664,N=1
0.000211048,N=1
0.000244826,N=1
0.000220973,N=1
0.000208904,N=1
0.000242191,N=1
0.000231955,N=1
0.000160522,N=1
0.000199355,N=1
0.000187848,N=1
0.000226,N=1
0.000229535,N=1
0.000219631,N=1
0.000199867,N=1
0.000239921,N=1
0.00018096,N=1
0.000258073,N=1
0.000225865,N=1
0.000235217,N=1
0.000196045,N=1
0.000205529,N=1
0.000212416,N=1
0.000174073,N=1
0.000232187,N=1
0.000218939,N=1
0.00021271,N=1
0.00021522,N=1
0.000186354,N=1
0.000227342,N=1
0.00023601,N=1
0.000190844,N=1
0.000185669,N=1
0.000208537,N=1
0.000203529,N=1
0.000208455,N=1
0.000232556,N=1
0.000188402,N=1
0.00027863,N=1
0.000216414,N=1
0.000211252,N=1
0.000207001,N=1
0.000230945,N=1
0.000192772,N=1
0.000225016,N=1
0.000219725,N=1
0.000180173,N=1
0.000200245,N=1
0.000221044,N=1
0.000194504,N=1
0.000226516,N=1
0.000217295,N=1
0.000194303,N=1
0.00025482,N=1
0.000224904,N=1
0.000245715,N=1
0.000189407,N=1
0.000207348,N=1
0.000200966,N=1
0.000221244,N=1
0.000230791,N=1
0.00022297,N=1
0.00021632,N=1
0.000176535,N=1
0.000229921,N=1
0.000232044,N=1
0.00020556,N=1
0.000228784,N=1
0.000229606,N=1
0.000221774,N=1
0.000227409,N=1
0.000213112,N=1
0.000186802,N=1
0.000243431,N=1
0.000216473,N=1
0.000205811,N=1
0.000209134,N=1
0.000199418,N=1
0.000219077,N=1
0.00023588,N=1
0.000246104,N=1
0.000205684,N=1
0.000213177,N=1
0.000229178,N=1
0.000211595,N=1
0.000237675,N=1
0.000241154,N=1
0.00020394,N=1
0.000191495,N=1
0.000227617,N=1
0.0001875,N=1
0.000232076,N=1
0.000224717,N=1
0.000248056,N=1
0.000165792,N=1
0.000235547,N=1
0.000235995,N=1
0.000196135,N=1
0.000218907,N=1
0.00019522,N=1
0.000207952,N=1
0.000203188,N=1
0.000189099,N=1
0.000201949,N=1
0.000197738,N=1
0.000231768,N=1
0.000177689,N=1
0.000223189,N=1
0.000246642,N=1
0.000199505,N=1
0.000217038,N=1
0.000219008,N=1
0.000220445,N=1
0.000232948,N=1
0.000262837,N=1
0.000246021,N=1
0.000240434,N=1
0.000187515,N=1
0.00022295,N=1
0.000193046,N=1
0.000221077,N=1
0.000237204,N=1
0.000230806,N=1
0.000238123,N=1
0.000206937,N=1
0.000214585,N=1
0.000233207,N=1
0.000212052,N=1
0.000174135,N=1
0.000174691,N=1
0.000206179,N=1
0.000226674,N=1
0.000252338,N=1
0.000219017,N=1
0.0002273,N=1
0.000245611,N=1
0.000202302,N=1
0.000206109,N=1
0.00023168,N=1
0.00030114,N=1
0.000206843,N=1
0.000224808,N=1
0.000263774,N=1
0.000230437,N=1
0.000207147,N=1
0.000213512,N=1
0.000212837,N=1
0.000209334,N=1
0.000202923,N=1
0.000233328,N=1
0.000240776,N=1
0.000223213,N=1
0.000158468,N=1
0.000197535,N=1
0.000214296,N=1
0.000206518,N=1
0.000202643,N=1
0.000179338,N=1
0.000219322,N=1
0.00020457,N=1
0.000227237,N=1
0.00018988,N=1
0.000181279,N=1
0.000204858,N=1
0.000214102,N=1
0.000233943,N=1
0.000205042,N=1
0.000254759,N=1
0.000195307,N=1
0.000216078,N=1
0.000258703,N=1
0.000224841,N=1
0.000210219,N=1
0.000230425,N=1
0.000213498,N=1
0.000204673,N=1
0.000218847,N=1
0.000239794,N=1
0.00021108,N=1
0.000251236,N=1
0.000222762,N=1
0.00024666,N=1
0.000238182,N=1
0.000238983,N=1
0.000230494,N=1
0.000205881,N=1
0.000224931,N=1
0.000207471,N=1
0.000174186,N=1
0.000231999,N=1
0.000192009,N=1
0.000228006,N=1
0.000269235,N=1
0.000193532,N=1
0.000190412,N=1
0.000224749,N=1
0.00025958,N=1
0.000186907,N=1
0.000229301,N=1
0.000232352,N=1
0.000208706,N=1
0.000258886,N=1
0.00022942,N=1
0.000203631,N=1
0.000193818,N=1
0.000208825,N=1
0.000218522,N=1
0.000243199,N=1
0.000234223,N=1
0.000213315,N=1
0.000235747,N=1
0.000259528,N=1
0.000208907,N=1
0.000206807,N=1
0.000213138,N=1
0.000251835,N=1
0.000222525,N=1
0.000233582,N=1
0.000249617,N=1
0.000195892,N=1
0.000199823,N=1
0.000191059,N=1
0.000192799,N=1
0.000203311,N=1
0.000244776,N=1
0.000200607,N=1
0.000234842,N=1
0.000245598,N=1
0.0002154,N=1
0.000212528,N=1
0.00019081,N=1
0.000252562,N=1
0.000223487,N=1
0.000206793,N=1
0.000224198,N=1
0.00023839,N=1
0.000220475,N=1
0.000225408,N=1
0.000221269,N=1
0.000193092,N=1
0.000210499,N=1
0.000206903,N=1
0.000193528,N=1
0.000223252,N=1
0.000222949,N=1
0.000191125,N=1
0.000240628,N=1
0.000207669,N=1
0.000212266,N=1
0.000205501,N=1
0.000192037,N=1
0.000206855,N=1
0.000244202,N=1
0.000211911,N=1
0.000237428,N=1
0.00024456,N=1
0.000231564,N=1
0.000237866,N=1
0.000212674,N=1
0.000244621,N=1
0.000217543,N=1
0.000231511,N=1
0.000185598,N=1
0.000247541,N=1
0.000186203,N=1
0.000230783,N=1
0.000247735,N=1
0.000220474,N=1
0.000223971,N=1
0.0002117,N=1
0.000206086,N=1
0.000257531,N=1
0.000238063,N=1
0.000265546,N=1
0.00023119,N=1
0.000231412,N=1
0.000217102,N=1
0.000228384,N=1
0.000200941,N=1
0.000207997,N=1
0.000190387,N=1
0.000203549,N=1
0.000206248,N=1
0.000216745,N=1
0.000205967,N=1
0.000194997,N=1
0.000234184,N=1
0.000196965,N=1
0.000218754,N=1
0.000224007,N=1
0.000273202,N=1
0.000218699,N=1
0.000200676,N=1
0.0001782,N=1
0.000231492,N=1
0.000215823,N=1
0.0001925,N=1
0.000245737,N=1
0.000157398,N=1
0.000235045,N=1
0.000236207,N=1
0.000199076,N=1
0.000225825,N=1
0.000214235,N=1
0.00021062,N=1
0.00023879,N=1
0.000234758,N=1
0.000210773,N=1
0.000246435,N=1
0.000223556,N=1
0.000211184,N=1
0.000187535,N=1
0.000250029,N=1
0.000229979,N=1
0.000227091,N=1
0.000204646,N=1
0.000221759,N=1
0.000261585,N=1
0.000180155,N=1
0.000225829,N=1
0.000206145,N=1
0.00021346,N=1
0.000206668,N=1
0.000195488,N=1
0.000232836,N=1
0.000219267,N=1
0.000207252,N=1
0.000223966,N=1
0.000181548,N=1
0.000246606,N=1
0.000228816,N=1
0.000216388,N=1
0.00022565,N=1
0.000221871,N=1
0.000233678,N=1
0.00023386,N=1
0.000229839,N=1
0.000225365,N=1
0.000212897,N=1
0.000179156,N=1
0.000228506,N=1
0.000206788,N=1
0.000233029,N=1
0.000207638,N=1
0.000245642,N=1
0.000254845,N=1
0.000241187,N=1
0.000229274,N=1
0.000206114,N=1
0.000178617,N=1
0.000221009,N=1
0.000279671,N=1
0.000263678,N=1
0.000186544,N=1
0.000233674,N=1
0.000206383,N=1
0.000187821,N=1
0.000207411,N=1
0.000214668,N=1
0.000240598,N=1
0.000215899,N=1
0.000253508,N=1
0.000195723,N=1
0.000165235,N=1
0.000222695,N=1
0.000255366,N=1
0.000224868,N=1
0.000194979,N=1
0.000214242,N=1
0.00017568,N=1
0.000227215,N=1
0.000200737,N=1
0.00024623,N=1
0.00018773,N=1
0.000195605,N=1
0.000206009,N=1
0.000195965,N=1
0.000232818,N=1
0.000192518,N=1
0.000208776,N=1
0.000219779,N=1
0.000210395,N=1
0.000239871,N=1
0.000246973,N=1
0.000227746,N=1
0.000208657,N=1
0.000186813,N=1
0.000229326,N=1
0.000207476,N=1
0.000210598,N=1
0.000223187,N=1
0.00025216,N=1
0.00023766,N=1
0.000190877,N=1
0.000183989,N=1
0.000226191,N=1
0.000194282,N=1
0.000232581,N=1
0.000240081,N=1
0.000210351,N=1
0.000182701,N=1
0.000233271,N=1
0.000255117,N=1
0.00018567,N=1
0.000171075,N=1
0.000241301,N=1
0.000196415,N=1
0.000217581,N=1
0.000224408,N=1
0.000232572,N=1
0.00022518,N=1
0.000236787,N=1
0.000215365,N=1
0.000220353,N=1
0.000268722,N=1
0.000241474,N=1
0.000225115,N=1
0.000202019,N=1
0.000225835,N=1
0.000217669,N=1
0.000211626,N=1
0.000262812,N=1
0.000212472,N=1
0.000189302,N=1
0.000238336,N=1
0.000253508,N=1
0.000193736,N=1
0.000187795,N=1
0.00017914,N=1
0.000237293,N=1
0.000207437,N=1
0.000238826,N=1
0.000226502,N=1
0.000235668,N=1
0.000162786,N=1
0.000215319,N=1
0.000233714,N=1
0.000215777,N=1
0.000227545,N=1
0.000232085,N=1
0.000228212,N=1
0.000226425,N=1
0.000203377,N=1
0.000245993,N=1
0.000229487,N=1
0.000304356,N=1
0.000206549,N=1
0.000236992,N=1
0.000225613,N=1
0.000220698,N=1
0.000197653,N=1
0.00024275,N=1
0.000194121,N=1
0.000199329,N=1
0.000190883,N=1
0.000246245,N=1
0.000200806,N=1
0.000222699,N=1
0.000175989,N=1
0.00021259,N=1
0.000184535,N=1
0.000222372,N=1
0.000174502,N=1
0.000231899,N=1
0.000196998,N=1
0.000249129,N=1
0.000216672,N=1
0.000227052,N=1
0.000224368,N=1
0.00018528,N=1
0.000233735,N=1
0.000208105,N=1
0.000236941,N=1
0.000238868,N=1
0.000238103,N=1
0.000222423,N=1
0.00027122,N=1
0.000223215,N=1
0.00022125,N=1
0.000219982,N=1
0.000234945,N=1
0.000213497,N=1
0.000212705,N=1
0.000214031,N=1
0.000234099,N=1
0.000217172,N=1
0.000231751,N=1
0.000243495,N=1
0.000210272,N=1
0.00027103,N=1
0.000212271,N=1
0.000216767,N=1
0.000225116,N=1
0.000232695,N=1
0.000199414,N=1
0.000230274,N=1
0.000225014,N=1
0.000210087,N=1
0.000200416,N=1
0.000179558,N=1
0.000205466,N=1
0.000225961,N=1
0.000247637,N=1
0.000228036,N=1
0.000182787,N=1
0.000269922,N=1
0.000237739,N=1
0.00022162,N=1
0.000224328,N=1
0.000209921,N=1
0.000240528,N=1
0.000181505,N=1
0.000198285,N=1
0.00022779,N=1
0.000191197,N=1
0.000185922,N=1
0.000230076,N=1
0.000225351,N=1
0.000218957,N=1
0.000223138,N=1
0.000236538,N=1
0.000204941,N=1
0.00021155,N=1
0.000190482,N=1
0.000232522,N=1
0.000194143,N=1
0.000224452,N=1
0.00025075,N=1
0.000200098,N=1
0.000213348,N=1
0.000224629,N=1
0.000224213,N=1
0.000220832,N=1
0.000223413,N=1
0.000240383,N=1
0.000224348,N=1
0.000206494,N=1
0.000266274,N=1
0.00021275,N=1
0.000207185,N=1
0.000201169,N=1
0.000241936,N=1
0.000235722,N=1
0.000226083,N=1
0.000209771,N=1
0.000181837,N=1
0.000241814,N=1
0.000235723,N=1
0.000277918,N=1
0.000237263,N=1
0.000230528,N=1
0.000199802,N=1
0.000211468,N=1
0.000243188,N=1
0.000206112,N=1
0.000245278,N=1
0.000232331,N=1
0.000245218,N=1
0.000191853,N=1
0.000236648,N=1
0.000215005,N=1
0.000215993,N=1
0.00020804,N=1
0.000211135,N=1
0.000207141,N=1
0.000218911,N=1
0.000236216,N=1
0.000239507,N=1
0.000214485,N=1
0.000203409,N=1
0.000214965,N=1
0.000217608,N=1
0.000282876,N=1
0.000258182,N=1
0.000241825,N=1
0.000228209,N=1
0.000241104,N=1
0.000205185,N=1
0.000215693,N=1
0.000234401,N=1
0.000212394,N=1
0.000195016,N=1
0.00019989,N=1
0.000184068,N=1
0.0002169,N=1
0.000206161,N=1
0.000180951,N=1
0.000258195,N=1
0.000208225,N=1
0.000196606,N=1
0.000182414,N=1
0.000179278,N=1
0.000241731,N=1
0.00025581,N=1
0.000193398,N=1
0.00021232,N=1
0.000205396,N=1
0.000227877,N=1
0.000227865,N=1
0.000212408,N=1
0.000231124,N=1
0.000183567,N=1
0.000206577,N=1
0.000218164,N=1
0.000201886,N=1
0.000231784,N=1
0.000260052,N=1
0.000215493,N=1
0.000204991,N=1
0.000225442,N=1
0.000176537,N=1
0.000232463,N=1
0.000221067,N=1
0.000212513,N=1
0.000228352,N=1
0.000214623,N=1
0.000184439,N=1
0.000230159,N=1
0.000185331,N=1
0.000275154,N=1
0.000275165,N=1
0.000217161,N=1
0.000233737,N=1
0.000207802,N=1
0.000197331,N=1
0.000226328,N=1
0.000239178,N=1
0.000282026,N=1
0.000225335,N=1
0.000199495,N=1
0.000228379,N=1
0.000190606,N=1
0.000200054,N=1
0.000238068,N=1
0.000260327,N=1
0.000213951,N=1
0.000206264,N=1
0.000213208,N=1
0.000241121,N=1
0.000234832,N=1
0.000238103,N=1
0.000198384,N=1
0.000230358,N=1
0.000248272,N=1
0.000228784,N=1
0.000217859,N=1
0.000234992,N=1
0.000217916,N=1
0.000225513,N=1
0.000197913,N=1
0.000208527,N=1
0.000203168,N=1
0.000237044,N=1
0.00017879,N=1
0.000189122,N=1
0.000211641,N=1
0.000205666,N=1
0.000213886,N=1
0.000202514,N=1
0.000254411,N=1
0.000226719,N=1
0.000220647,N=1
0.000215987,N=1
0.000228567,N=1
0.000203022,N=1
0.000212285,N=1
0.000225172,N=1
0.000223996,N=1
0.000229546,N=1
0.000201766,N=1
0.00020956,N=1
0.000208657,N=1
0.000238266,N=1
0.000198426,N=1
0.000242757,N=1
0.000235289,N=1
0.000249828,N=1
0.00021856,N=1
0.000215614,N=1
0.00023565,N=1
0.000192944,N=1
0.000204173,N=1
0.000236882,N=1
0.000185388,N=1
0.000189752,N=1
0.000258999,N=1
0.000226676,N=1
0.000253137,N=1
0.000193951,N=1
0.000199702,N=1
0.000185347,N=1
0.000220589,N=1
0.000232009,N=1
0.000238293,N=1
0.000182191,N=1
0.000221743,N=1
0.00021724,N=1
0.000240678,N=1
0.000206,N=1
0.000193025,N=1
0.000218051,N=1
0.000198495,N=1
0.000209902,N=1
0.000224458,N=1
0.000196543,N=1
0.00021319,N=1
0.00024772,N=1
0.000228325,N=1
0.000183265,N=1
0.000190306,N=1
0.000224226,N=1
0.000198168,N=1
0.000250898,N=1
0.000207711,N=1
0.000224282,N=1
0.000209777,N=1
0.000198537,N=1
0.000204826,N=1
0.000227916,N=1
0.000208793,N=1
0.000175311,N=1
0.000202675,N=1
0.000220156,N=1
0.000206857,N=1
0.000186471,N=1
0.000204993,N=1
0.000266986,N=1
0.000238854,N=1
0.000212245,N=1
0.00022221,N=1
0.00022078,N=1
0.000239703,N=1
0.000243586,N=1
0.00018712,N=1
0.000234764,N=1
0.000235094,N=1
0.0002099,N=1
0.000214637,N=1
0.000223558,N=1
0.000202902,N=1
0.000220112,N=1
0.000208258,N=1
0.000193053,N=1
0.000226642,N=1
0.000209326,N=1
0.000180204,N=1
0.000243727,N=1
0.000242511,N=1
0.000217523,N=1
0.000249297,N=1
0.000229652,N=1
0.000251459,N=1
0.000237294,N=1
0.000216134,N=1
0.000263381,N=1
0.000230661,N=1
0.000202388,N=1
0.00027002,N=1
0.000258028,N=1
0.000199619,N=1
0.00020902,N=1
0.000208483,N=1
0.000212885,N=1
0.000223515,N=1
0.000205948,N=1
0.000211549,N=1
0.000212068,N=1
0.000192161,N=1
0.000195828,N=1
0.000207084,N=1
0.000278967,N=1
0.000222476,N=1
0.000234853,N=1
0.000217742,N=1
0.000220159,N=1
0.000201895,N=1
0.00021158,N=1
0.000206592,N=1
0.000257361,N=1
0.000174574,N=1
0.000208148,N=1
0.000214559,N=1
0.000223063,N=1
0.000226021,N=1
0.000240331,N=1
0.00019099,N=1
0.000237231,N=1
0.000233273,N=1
0.000226299,N=1
0.000189376,N=1
0.000209255,N=1
0.000189543,N=1
0.000181907,N=1
0.000207733,N=1
0.000200129,N=1
0.000213694,N=1
0.000208871,N=1
0.000269255,N=1
0.000205873,N=1
0.000232073,N=1
0.000224687,N=1
0.000212648,N=1
0.000223724,N=1
0.000230957,N=1
0.000173448,N=1
0.000234311,N=1
0.000197612,N=1
0.000257665,N=1
0.000201898,N=1
0.000208203,N=1
0.000214344,N=1
0.000212053,N=1
0.000211971,N=1
0.000209728,N=1
0.000183853,N=1
0.00018809,N=1
0.000218186,N=1
0.000236829,N=1
0.000234275,N=1
0.00023209,N=1
0.000210459,N=1
0.00025082,N=1
0.000232793,N=1
0.00025282,N=1
0.000224132,N=1
0.000233912,N=1
0.000222817,N=1
0.000217306,N=1
0.000190749,N=1
0.000187849,N=1
0.000218472,N=1
0.000220252,N=1
