echo,condition
5.30E-05,N=1
4.65E-05,N=1
5.48E-05,N=1
4.57E-05,N=1
6.60E-05,N=1
8.16E-05,N=1
3.27E-05,N=1
7.49E-05,N=1
4.76E-05,N=1
4.24E-05,N=1
7.19E-05,N=1
3.19E-05,N=1
4.13E-05,N=1
5.73E-05,N=1
4.70E-05,N=1
5.93E-05,N=1
3.34E-05,N=1
4.59E-05,N=1
4.09E-05,N=1
5.97E-05,N=1
4.74E-05,N=1
3.71E-05,N=1
5.61E-05,N=1
5.60E-05,N=1
4.75E-05,N=1
6.17E-05,N=1
5.59E-05,N=1
3.30E-05,N=1
6.30E-05,N=1
6.24E-05,N=1
6.97E-05,N=1
2.57E-05,N=1
6.23E-05,N=1
5.30E-05,N=1
6.30E-05,N=1
4.12E-05,N=1
6.18E-05,N=1
5.26E-05,N=1
4.57E-05,N=1
6.15E-05,N=1
3.18E-05,N=1
7.69E-05,N=1
3.15E-05,N=1
4.21E-05,N=1
7.08E-05,N=1
5.24E-05,N=1
4.78E-05,N=1
6.72E-05,N=1
3.61E-05,N=1
5.13E-05,N=1
5.33E-05,N=1
3.96E-05,N=1
5.34E-05,N=1
4.31E-05,N=1
5.09E-05,N=1
4.79E-05,N=1
5.38E-05,N=1
4.80E-05,N=1
6.79E-05,N=1
5.20E-05,N=1
7.21E-05,N=1
7.52E-05,N=1
4.74E-05,N=1
6.40E-05,N=1
4.37E-05,N=1
4.31E-05,N=1
4.75E-05,N=1
6.65E-05,N=1
4.35E-05,N=1
4.72E-05,N=1
3.64E-05,N=1
3.47E-05,N=1
4.92E-05,N=1
3.74E-05,N=1
5.85E-05,N=1
3.88E-05,N=1
5.65E-05,N=1
5.67E-05,N=1
5.74E-05,N=1
4.12E-05,N=1
6.45E-05,N=1
4.12E-05,N=1
5.01E-05,N=1
6.31E-05,N=1
3.67E-05,N=1
5.84E-05,N=1
5.54E-05,N=1
3.73E-05,N=1
3.16E-05,N=1
6.26E-05,N=1
4.05E-05,N=1
7.93E-05,N=1
5.94E-05,N=1
6.73E-05,N=1
7.20E-05,N=1
3.64E-05,N=1
5.08E-05,N=1
6.24E-05,N=1
4.67E-05,N=1
5.00E-05,N=1
6.19E-05,N=1
3.70E-05,N=1
4.75E-05,N=1
5.60E-05,N=1
4.77E-05,N=1
4.25E-05,N=1
5.01E-05,N=1
5.78E-05,N=1
6.16E-05,N=1
6.19E-05,N=1
4.75E-05,N=1
6.22E-05,N=1
6.94E-05,N=1
3.76E-05,N=1
5.36E-05,N=1
5.87E-05,N=1
4.50E-05,N=1
4.34E-05,N=1
7.06E-05,N=1
5.29E-05,N=1
6.39E-05,N=1
6.72E-05,N=1
4.74E-05,N=1
5.59E-05,N=1
4.76E-05,N=1
4.31E-05,N=1
2.85E-05,N=1
5.21E-05,N=1
5.20E-05,N=1
5.33E-05,N=1
3.87E-05,N=1
4.15E-05,N=1
4.46E-05,N=1
4.64E-05,N=1
3.99E-05,N=1
4.80E-05,N=1
6.53E-05,N=1
6.55E-05,N=1
4.62E-05,N=1
2.37E-05,N=1
5.26E-05,N=1
5.80E-05,N=1
8.83E-05,N=1
5.88E-05,N=1
3.37E-05,N=1
6.23E-05,N=1
6.45E-05,N=1
4.22E-05,N=1
4.40E-05,N=1
3.98E-05,N=1
4.05E-05,N=1
4.04E-05,N=1
6.52E-05,N=1
4.25E-05,N=1
3.44E-05,N=1
6.95E-05,N=1
3.64E-05,N=1
5.75E-05,N=1
2.53E-05,N=1
4.42E-05,N=1
4.17E-05,N=1
3.88E-05,N=1
4.24E-05,N=1
5.04E-05,N=1
2.32E-05,N=1
5.07E-05,N=1
6.04E-05,N=1
5.68E-05,N=1
6.35E-05,N=1
2.78E-05,N=1
3.63E-05,N=1
4.52E-05,N=1
3.30E-05,N=1
6.59E-05,N=1
4.94E-05,N=1
5.40E-05,N=1
3.57E-05,N=1
7.30E-05,N=1
5.29E-05,N=1
5.54E-05,N=1
7.51E-05,N=1
5.45E-05,N=1
5.71E-05,N=1
6.01E-05,N=1
