echo,condition
1.27E-05,N=1
9.26E-06,N=1
9.01E-06,N=1
6.25E-06,N=1
1.33E-05,N=1
1.37E-05,N=1
1.20E-05,N=1
8.11E-06,N=1
1.66E-05,N=1
1.41E-05,N=1
7.79E-06,N=1
1.33E-05,N=1
1.14E-05,N=1
1.26E-05,N=1
8.02E-06,N=1
1.53E-05,N=1
1.33E-05,N=1
8.44E-06,N=1
1.08E-05,N=1
1.12E-05,N=1
7.21E-06,N=1
2.11E-05,N=1
8.70E-06,N=1
1.05E-05,N=1
9.91E-06,N=1
1.31E-05,N=1
9.50E-06,N=1
1.42E-05,N=1
1.19E-05,N=1
9.55E-06,N=1
1.61E-05,N=1
1.16E-05,N=1
1.75E-05,N=1
7.91E-06,N=1
7.90E-06,N=1
1.17E-05,N=1
9.79E-06,N=1
7.06E-06,N=1
1.14E-05,N=1
8.64E-06,N=1
1.58E-05,N=1
1.32E-05,N=1
7.47E-06,N=1
1.22E-05,N=1
1.49E-05,N=1
1.24E-05,N=1
1.21E-05,N=1
1.17E-05,N=1
1.13E-05,N=1
1.35E-05,N=1
7.88E-06,N=1
9.35E-06,N=1
1.49E-05,N=1
1.71E-05,N=1
1.26E-05,N=1
8.51E-06,N=1
1.62E-05,N=1
1.54E-05,N=1
7.98E-06,N=1
7.08E-06,N=1
9.60E-06,N=1
1.48E-05,N=1
9.67E-06,N=1
7.89E-06,N=1
6.50E-06,N=1
1.03E-05,N=1
1.52E-05,N=1
9.40E-06,N=1
2.29E-05,N=1
1.15E-05,N=1
5.85E-06,N=1
1.11E-05,N=1
1.62E-05,N=1
1.72E-05,N=1
1.14E-05,N=1
9.12E-06,N=1
8.58E-06,N=1
1.01E-05,N=1
9.01E-06,N=1
1.04E-05,N=1
8.72E-06,N=1
8.61E-06,N=1
8.10E-06,N=1
1.23E-05,N=1
9.75E-06,N=1
1.33E-05,N=1
8.30E-06,N=1
9.46E-06,N=1
1.41E-05,N=1
1.47E-05,N=1
4.72E-06,N=1
8.67E-06,N=1
1.04E-05,N=1
3.74E-06,N=1
1.06E-05,N=1
1.34E-05,N=1
1.06E-05,N=1
1.18E-05,N=1
1.20E-05,N=1
1.17E-05,N=1
1.06E-05,N=1
8.85E-06,N=1
1.28E-05,N=1
1.49E-05,N=1
1.37E-05,N=1
8.54E-06,N=1
1.30E-05,N=1
1.48E-05,N=1
1.35E-05,N=1
9.80E-06,N=1
1.72E-05,N=1
1.25E-05,N=1
1.21E-05,N=1
1.73E-05,N=1
2.07E-05,N=1
6.81E-06,N=1
1.37E-05,N=1
1.13E-05,N=1
1.33E-05,N=1
1.79E-05,N=1
7.55E-06,N=1
1.26E-05,N=1
1.42E-05,N=1
7.33E-06,N=1
1.06E-05,N=1
1.53E-05,N=1
8.45E-06,N=1
1.14E-05,N=1
1.01E-05,N=1
1.15E-05,N=1
1.15E-05,N=1
8.83E-06,N=1
8.17E-06,N=1
4.29E-06,N=1
5.00E-06,N=1
4.49E-06,N=1
7.22E-06,N=1
1.19E-05,N=1
1.29E-05,N=1
1.13E-05,N=1
1.29E-05,N=1
1.15E-05,N=1
