echo,condition
8.14E-05,N=1
6.31E-05,N=1
5.84E-05,N=1
4.34E-05,N=1
6.19E-05,N=1
4.41E-05,N=1
6.07E-05,N=1
7.48E-05,N=1
6.17E-05,N=1
5.56E-05,N=1
7.50E-05,N=1
5.90E-05,N=1
7.14E-05,N=1
6.82E-05,N=1
6.12E-05,N=1
5.39E-05,N=1
5.17E-05,N=1
4.90E-05,N=1
6.57E-05,N=1
5.21E-05,N=1
5.80E-05,N=1
5.78E-05,N=1
4.84E-05,N=1
6.75E-05,N=1
4.74E-05,N=1
5.91E-05,N=1
5.35E-05,N=1
6.18E-05,N=1
6.37E-05,N=1
6.43E-05,N=1
6.55E-05,N=1
7.04E-05,N=1
6.73E-05,N=1
6.17E-05,N=1
5.24E-05,N=1
7.00E-05,N=1
5.66E-05,N=1
6.42E-05,N=1
7.29E-05,N=1
6.70E-05,N=1
5.77E-05,N=1
4.95E-05,N=1
4.04E-05,N=1
6.72E-05,N=1
6.26E-05,N=1
7.11E-05,N=1
7.44E-05,N=1
7.64E-05,N=1
5.06E-05,N=1
6.50E-05,N=1
9.83E-05,N=1
6.82E-05,N=1
5.32E-05,N=1
5.55E-05,N=1
7.20E-05,N=1
6.17E-05,N=1
5.89E-05,N=1
5.80E-05,N=1
6.18E-05,N=1
6.00E-05,N=1
5.86E-05,N=1
5.95E-05,N=1
5.07E-05,N=1
7.33E-05,N=1
4.87E-05,N=1
4.26E-05,N=1
5.84E-05,N=1
4.66E-05,N=1
3.76E-05,N=1
5.29E-05,N=1
4.19E-05,N=1
5.97E-05,N=1
7.14E-05,N=1
6.67E-05,N=1
5.73E-05,N=1
6.70E-05,N=1
7.83E-05,N=1
6.89E-05,N=1
6.29E-05,N=1
6.14E-05,N=1
6.49E-05,N=1
5.93E-05,N=1
6.19E-05,N=1
7.23E-05,N=1
6.49E-05,N=1
5.52E-05,N=1
7.37E-05,N=1
5.19E-05,N=1
4.58E-05,N=1
5.65E-05,N=1
5.76E-05,N=1
7.61E-05,N=1
7.43E-05,N=1
3.94E-05,N=1
6.08E-05,N=1
7.19E-05,N=1
6.28E-05,N=1
5.85E-05,N=1
6.69E-05,N=1
6.08E-05,N=1
6.54E-05,N=1
6.50E-05,N=1
4.05E-05,N=1
5.44E-05,N=1
4.92E-05,N=1
4.99E-05,N=1
7.50E-05,N=1
6.17E-05,N=1
5.18E-05,N=1
6.53E-05,N=1
6.42E-05,N=1
6.61E-05,N=1
6.11E-05,N=1
5.19E-05,N=1
6.47E-05,N=1
5.81E-05,N=1
6.72E-05,N=1
5.10E-05,N=1
4.09E-05,N=1
4.97E-05,N=1
4.84E-05,N=1
6.88E-05,N=1
6.73E-05,N=1
4.84E-05,N=1
6.30E-05,N=1
6.46E-05,N=1
5.93E-05,N=1
6.69E-05,N=1
6.58E-05,N=1
6.74E-05,N=1
4.25E-05,N=1
6.57E-05,N=1
5.91E-05,N=1
5.15E-05,N=1
5.53E-05,N=1
6.46E-05,N=1
6.46E-05,N=1
6.10E-05,N=1
5.90E-05,N=1
6.10E-05,N=1
6.41E-05,N=1
5.62E-05,N=1
3.94E-05,N=1
5.80E-05,N=1
6.95E-05,N=1
6.70E-05,N=1
6.33E-05,N=1
4.44E-05,N=1
5.28E-05,N=1
7.25E-05,N=1
4.54E-05,N=1
4.86E-05,N=1
4.68E-05,N=1
5.78E-05,N=1
7.66E-05,N=1
7.70E-05,N=1
6.62E-05,N=1
6.86E-05,N=1
5.33E-05,N=1
4.75E-05,N=1
5.64E-05,N=1
5.78E-05,N=1
6.30E-05,N=1
5.49E-05,N=1
7.12E-05,N=1
3.87E-05,N=1
6.54E-05,N=1
8.04E-05,N=1
7.14E-05,N=1
7.78E-05,N=1
7.75E-05,N=1
4.75E-05,N=1
5.59E-05,N=1
5.93E-05,N=1
6.34E-05,N=1
6.25E-05,N=1
6.28E-05,N=1
5.53E-05,N=1
5.15E-05,N=1
4.38E-05,N=1
4.54E-05,N=1
5.05E-05,N=1
7.39E-05,N=1
6.47E-05,N=1
6.47E-05,N=1
6.44E-05,N=1
5.79E-05,N=1
6.40E-05,N=1
5.20E-05,N=1
5.90E-05,N=1
5.89E-05,N=1
6.37E-05,N=1
6.70E-05,N=1
5.70E-05,N=1
7.19E-05,N=1
5.48E-05,N=1
5.06E-05,N=1
5.82E-05,N=1
7.69E-05,N=1
6.03E-05,N=1
6.46E-05,N=1
7.74E-05,N=1
5.26E-05,N=1
4.70E-05,N=1
8.95E-05,N=1
5.85E-05,N=1
5.87E-05,N=1
6.49E-05,N=1
6.26E-05,N=1
6.05E-05,N=1
6.36E-05,N=1
6.94E-05,N=1
6.77E-05,N=1
6.45E-05,N=1
4.52E-05,N=1
4.37E-05,N=1
5.58E-05,N=1
7.14E-05,N=1
6.72E-05,N=1
5.08E-05,N=1
8.10E-05,N=1
5.88E-05,N=1
5.85E-05,N=1
5.95E-05,N=1
5.40E-05,N=1
6.24E-05,N=1
6.23E-05,N=1
8.67E-05,N=1
7.04E-05,N=1
6.63E-05,N=1
6.28E-05,N=1
5.67E-05,N=1
6.87E-05,N=1
6.57E-05,N=1
4.62E-05,N=1
5.66E-05,N=1
4.38E-05,N=1
8.58E-05,N=1
5.45E-05,N=1
6.03E-05,N=1
5.94E-05,N=1
5.01E-05,N=1
6.33E-05,N=1
5.99E-05,N=1
6.24E-05,N=1
7.40E-05,N=1
7.44E-05,N=1
5.68E-05,N=1
7.08E-05,N=1
4.57E-05,N=1
4.83E-05,N=1
8.58E-05,N=1
4.95E-05,N=1
6.73E-05,N=1
6.49E-05,N=1
5.63E-05,N=1
7.28E-05,N=1
6.67E-05,N=1
7.50E-05,N=1
4.58E-05,N=1
6.57E-05,N=1
6.72E-05,N=1
6.49E-05,N=1
5.02E-05,N=1
5.94E-05,N=1
7.42E-05,N=1
6.09E-05,N=1
8.43E-05,N=1
5.93E-05,N=1
6.64E-05,N=1
7.07E-05,N=1
6.13E-05,N=1
6.06E-05,N=1
5.64E-05,N=1
6.54E-05,N=1
5.97E-05,N=1
6.12E-05,N=1
6.04E-05,N=1
6.67E-05,N=1
