echo,condition
0.000125508,N=1
0.00011318,N=1
0.000131682,N=1
0.000108239,N=1
0.000114926,N=1
0.000111198,N=1
0.000142031,N=1
0.000135971,N=1
0.000115866,N=1
0.000114849,N=1
0.000112486,N=1
9.71E-05,N=1
0.000117904,N=1
9.77E-05,N=1
0.000138163,N=1
0.000124156,N=1
0.000103477,N=1
0.0001137,N=1
0.000105544,N=1
0.000125727,N=1
0.000120711,N=1
0.00012288,N=1
9.99E-05,N=1
0.000114508,N=1
0.000129661,N=1
0.000101545,N=1
0.000113156,N=1
8.66E-05,N=1
0.000101411,N=1
9.64E-05,N=1
0.000108737,N=1
0.000101556,N=1
0.000112626,N=1
9.18E-05,N=1
0.000104355,N=1
0.000111445,N=1
0.000126224,N=1
0.000111526,N=1
9.95E-05,N=1
0.000113386,N=1
0.000127178,N=1
0.00012448,N=1
0.00013409,N=1
0.000116818,N=1
0.000110366,N=1
0.000114075,N=1
0.000115471,N=1
0.000106021,N=1
9.44E-05,N=1
0.000129263,N=1
0.000134237,N=1
9.84E-05,N=1
0.000115971,N=1
9.41E-05,N=1
0.000121094,N=1
0.000129134,N=1
0.000114783,N=1
9.89E-05,N=1
0.00010569,N=1
0.000100007,N=1
9.54E-05,N=1
0.000121968,N=1
9.73E-05,N=1
0.000103635,N=1
0.000118584,N=1
0.000112071,N=1
0.000104838,N=1
9.63E-05,N=1
0.000131663,N=1
0.000112333,N=1
0.000129493,N=1
0.000113404,N=1
0.000108652,N=1
0.000112565,N=1
0.000129961,N=1
9.63E-05,N=1
0.00011029,N=1
0.000112659,N=1
0.00011459,N=1
0.000105971,N=1
0.000119925,N=1
0.000117535,N=1
0.000103044,N=1
0.000117641,N=1
0.000129252,N=1
0.00010028,N=1
0.000108526,N=1
0.000107074,N=1
9.83E-05,N=1
0.000108514,N=1
0.000104693,N=1
0.000107918,N=1
0.000108015,N=1
0.000144873,N=1
8.57E-05,N=1
0.000109605,N=1
9.84E-05,N=1
9.82E-05,N=1
0.000115917,N=1
0.000101384,N=1
0.000110468,N=1
8.44E-05,N=1
0.000110355,N=1
8.31E-05,N=1
0.000121306,N=1
9.95E-05,N=1
0.00010213,N=1
0.00010117,N=1
0.000111835,N=1
0.000101583,N=1
0.000104481,N=1
0.000103538,N=1
0.000108499,N=1
0.000118937,N=1
0.000105635,N=1
0.000135517,N=1
0.000135286,N=1
0.000118602,N=1
0.000115851,N=1
0.00010657,N=1
0.000112228,N=1
0.000109655,N=1
0.000109126,N=1
0.000125066,N=1
0.000105426,N=1
0.000101707,N=1
0.000114577,N=1
9.76E-05,N=1
0.000108717,N=1
0.000114503,N=1
0.000107281,N=1
9.46E-05,N=1
9.90E-05,N=1
0.000103721,N=1
0.000100886,N=1
9.90E-05,N=1
0.000105044,N=1
0.000106552,N=1
0.000105027,N=1
9.63E-05,N=1
0.000114496,N=1
0.000120982,N=1
0.000125226,N=1
0.000137424,N=1
0.000101601,N=1
0.000111437,N=1
0.000133307,N=1
9.72E-05,N=1
9.90E-05,N=1
0.000116914,N=1
0.000116331,N=1
9.18E-05,N=1
0.000122931,N=1
0.000116488,N=1
0.000130766,N=1
9.10E-05,N=1
0.00010954,N=1
0.000111947,N=1
9.73E-05,N=1
0.000124504,N=1
0.000106882,N=1
0.000127638,N=1
0.000115793,N=1
0.000106261,N=1
0.000143519,N=1
0.000128032,N=1
0.000123401,N=1
9.25E-05,N=1
0.000114984,N=1
0.000117667,N=1
0.000114136,N=1
9.76E-05,N=1
0.000119749,N=1
9.53E-05,N=1
0.000134517,N=1
9.82E-05,N=1
0.000115714,N=1
9.66E-05,N=1
9.20E-05,N=1
8.90E-05,N=1
0.000116095,N=1
0.000152606,N=1
0.000127574,N=1
0.000101225,N=1
0.000140478,N=1
8.91E-05,N=1
0.000115264,N=1
0.000123214,N=1
0.00011618,N=1
0.000130913,N=1
0.000101131,N=1
0.000113061,N=1
0.000103369,N=1
0.000125931,N=1
9.45E-05,N=1
0.000115367,N=1
0.000131678,N=1
0.00012554,N=1
0.000105758,N=1
0.00012804,N=1
0.000103233,N=1
0.000124103,N=1
0.000114568,N=1
0.000127177,N=1
0.000100491,N=1
0.00011837,N=1
0.000118159,N=1
0.000121496,N=1
0.000114295,N=1
0.000124386,N=1
0.000113993,N=1
9.97E-05,N=1
0.000105696,N=1
0.000101816,N=1
0.000112476,N=1
0.000100047,N=1
0.00011109,N=1
0.000141514,N=1
0.000108699,N=1
0.000140896,N=1
0.000113251,N=1
0.000119733,N=1
0.000102997,N=1
0.000123345,N=1
0.000122731,N=1
0.000131727,N=1
0.000104069,N=1
9.93E-05,N=1
0.000120825,N=1
0.000101324,N=1
0.000116636,N=1
0.000132157,N=1
0.000107266,N=1
0.000106725,N=1
0.000109609,N=1
0.000102948,N=1
9.87E-05,N=1
0.000101492,N=1
0.000111596,N=1
0.000118481,N=1
0.000112144,N=1
0.00010539,N=1
0.000115995,N=1
0.000116358,N=1
0.000127263,N=1
9.72E-05,N=1
0.000124919,N=1
9.72E-05,N=1
0.000124384,N=1
0.000128386,N=1
0.000119216,N=1
0.000103025,N=1
8.96E-05,N=1
0.000108854,N=1
0.000109551,N=1
9.47E-05,N=1
0.000109335,N=1
0.000106469,N=1
0.000112576,N=1
0.000106346,N=1
0.000114451,N=1
0.00011206,N=1
0.000122974,N=1
0.000122497,N=1
0.000112198,N=1
0.000104326,N=1
0.00010448,N=1
0.00012669,N=1
0.00010781,N=1
0.000100745,N=1
9.90E-05,N=1
0.000141767,N=1
0.000123945,N=1
0.000124779,N=1
9.83E-05,N=1
0.000124851,N=1
9.97E-05,N=1
0.000110405,N=1
0.000109133,N=1
0.000117018,N=1
0.000126781,N=1
0.000123129,N=1
0.000105223,N=1
0.000125301,N=1
8.42E-05,N=1
0.000113126,N=1
0.000113658,N=1
0.000103268,N=1
0.000115736,N=1
0.000113567,N=1
0.000143552,N=1
0.000100327,N=1
0.000121849,N=1
0.000121263,N=1
0.000106483,N=1
9.62E-05,N=1
9.70E-05,N=1
9.83E-05,N=1
0.000110924,N=1
0.000104264,N=1
0.000117574,N=1
0.000132501,N=1
0.000103611,N=1
0.000112472,N=1
0.000103456,N=1
0.000105583,N=1
0.000108772,N=1
0.000107046,N=1
0.000131302,N=1
0.000120591,N=1
0.000131192,N=1
0.000103762,N=1
0.000110941,N=1
0.000123226,N=1
0.000112836,N=1
0.000122145,N=1
