echo,condition
0.000119191,N=1
0.000134132,N=1
7.74E-05,N=1
0.000113928,N=1
0.000111322,N=1
0.000116635,N=1
0.000110531,N=1
0.000141345,N=1
0.000113643,N=1
9.73E-05,N=1
8.28E-05,N=1
0.000144057,N=1
0.00010955,N=1
0.000113477,N=1
0.000104533,N=1
0.000116985,N=1
0.000125303,N=1
9.18E-05,N=1
0.000147178,N=1
0.000143695,N=1
8.25E-05,N=1
0.000100668,N=1
0.000138771,N=1
0.000144074,N=1
0.000114158,N=1
0.000112558,N=1
0.000115634,N=1
0.000127696,N=1
0.000143106,N=1
0.000125514,N=1
0.000108145,N=1
8.58E-05,N=1
9.69E-05,N=1
0.000100906,N=1
0.000144989,N=1
0.00012071,N=1
0.000122718,N=1
0.000108966,N=1
0.000129673,N=1
0.000120848,N=1
6.74E-05,N=1
0.000129184,N=1
0.000136858,N=1
0.000115992,N=1
0.000118324,N=1
0.000125341,N=1
0.000121733,N=1
0.000116021,N=1
0.000109837,N=1
0.000117207,N=1
0.000123062,N=1
0.000128913,N=1
0.00010508,N=1
0.00012154,N=1
9.06E-05,N=1
0.000129368,N=1
0.000118886,N=1
0.000136546,N=1
9.42E-05,N=1
0.000120035,N=1
0.000126584,N=1
0.000136902,N=1
0.000137411,N=1
9.03E-05,N=1
9.81E-05,N=1
0.000127117,N=1
0.000119542,N=1
9.58E-05,N=1
0.000155805,N=1
0.000124135,N=1
0.000139248,N=1
0.000143118,N=1
0.000112821,N=1
9.01E-05,N=1
0.000113619,N=1
9.27E-05,N=1
0.00012503,N=1
0.000115925,N=1
0.000115364,N=1
0.000113573,N=1
0.000105056,N=1
0.000115253,N=1
0.000111506,N=1
0.000123376,N=1
0.000130009,N=1
0.000106956,N=1
0.000108043,N=1
0.000123872,N=1
0.000123127,N=1
0.000125617,N=1
0.000139985,N=1
0.000135945,N=1
0.000104538,N=1
0.000155709,N=1
0.000117776,N=1
9.91E-05,N=1
0.000119482,N=1
9.08E-05,N=1
9.95E-05,N=1
0.000133925,N=1
0.000112747,N=1
0.000156622,N=1
0.000115665,N=1
0.000118688,N=1
0.00012794,N=1
0.000144237,N=1
0.000137575,N=1
0.000121941,N=1
0.000120147,N=1
0.000123863,N=1
0.000132117,N=1
0.000124524,N=1
0.000112717,N=1
8.53E-05,N=1
0.000118824,N=1
0.000117716,N=1
0.000108179,N=1
0.000124079,N=1
0.000147494,N=1
7.92E-05,N=1
0.000159902,N=1
0.000112467,N=1
0.000113769,N=1
9.78E-05,N=1
0.000136346,N=1
0.000116644,N=1
0.000114666,N=1
0.000121981,N=1
0.000143407,N=1
0.000138803,N=1
0.000102376,N=1
0.000102856,N=1
0.000110764,N=1
9.75E-05,N=1
0.00011731,N=1
0.000111273,N=1
0.000124011,N=1
0.000151059,N=1
0.000100147,N=1
0.00010549,N=1
0.000101659,N=1
0.000114708,N=1
8.54E-05,N=1
0.000118435,N=1
0.000143271,N=1
0.000108167,N=1
0.000123924,N=1
0.000128215,N=1
0.000131437,N=1
0.000131869,N=1
0.00010215,N=1
8.94E-05,N=1
0.000105949,N=1
0.000140915,N=1
0.000127917,N=1
9.57E-05,N=1
0.000130736,N=1
0.000123327,N=1
0.000114654,N=1
0.000139556,N=1
0.000111114,N=1
0.000146604,N=1
0.000117662,N=1
9.22E-05,N=1
0.000113397,N=1
9.60E-05,N=1
0.000130411,N=1
0.000148724,N=1
8.18E-05,N=1
0.000122376,N=1
7.98E-05,N=1
8.65E-05,N=1
0.000122414,N=1
9.37E-05,N=1
0.000143913,N=1
0.000128587,N=1
0.000121584,N=1
0.000133839,N=1
9.42E-05,N=1
0.000108058,N=1
0.00011943,N=1
0.000133912,N=1
0.000110852,N=1
0.000127296,N=1
0.00012201,N=1
0.000121367,N=1
0.000123688,N=1
0.000108985,N=1
0.000134617,N=1
0.000115649,N=1
0.000124337,N=1
0.00010855,N=1
0.000160462,N=1
0.000146635,N=1
0.000138462,N=1
